%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.212e+03	+3.256e+03	+9.940e+03	+0.344
0.100	+6.736e+03	+3.469e+03	+1.041e+04	+0.340
0.200	+6.552e+03	+1.877e+03	+9.611e+03	+0.223
0.300	+5.772e+03	+1.465e+03	+1.035e+04	+0.202
0.400	+6.044e+03	+3.612e+03	+9.532e+03	+0.374
0.500	+5.861e+03	+2.688e+03	+9.454e+03	+0.314
0.600	+6.065e+03	+2.632e+03	+1.022e+04	+0.303
0.700	+6.710e+03	+3.713e+03	+1.074e+04	+0.356
0.800	+7.059e+03	+2.903e+03	+1.115e+04	+0.291
0.900	+5.877e+03	+3.089e+03	+9.320e+03	+0.345
1.000	+7.142e+03	+4.070e+03	+9.811e+03	+0.363
1.100	+6.133e+03	+1.773e+03	+1.007e+04	+0.224
1.200	+5.337e+03	+5.341e+03	+1.045e+04	+0.500
1.300	+2.185e+03	+6.989e+03	+9.154e+03	+0.762
1.400	+3.936e+03	+8.237e+03	+1.043e+04	+0.677
1.500	+2.442e+03	+6.088e+03	+8.420e+03	+0.714
1.600	+3.051e+03	+7.329e+03	+9.993e+03	+0.706
1.700	+5.984e+03	+6.709e+03	+8.337e+03	+0.529
1.800	+4.153e+03	+6.086e+03	+1.108e+04	+0.594
1.900	+2.747e+03	+7.710e+03	+1.026e+04	+0.737
2.000	+5.323e+03	+4.217e+03	+8.991e+03	+0.442
2.100	+4.875e+03	+6.795e+03	+1.097e+04	+0.582
2.200	+3.128e+03	+7.352e+03	+8.602e+03	+0.702
2.300	+3.367e+03	+6.555e+03	+1.065e+04	+0.661
2.400	+3.074e+03	+6.895e+03	+9.321e+03	+0.692
2.500	+3.012e+03	+7.613e+03	+1.012e+04	+0.717
2.600	+2.195e+03	+8.600e+03	+9.894e+03	+0.797
2.700	+2.760e+03	+8.154e+03	+1.074e+04	+0.747
2.800	+3.215e+03	+6.989e+03	+1.155e+04	+0.685
2.900	+2.428e+03	+7.000e+03	+9.228e+03	+0.742
3.000	+3.168e+03	+7.628e+03	+9.654e+03	+0.707
3.100	+2.736e+03	+5.906e+03	+8.876e+03	+0.683
3.200	+3.856e+03	+6.421e+03	+9.910e+03	+0.625
3.300	+3.693e+03	+8.011e+03	+1.094e+04	+0.684
3.400	+3.527e+03	+7.703e+03	+9.585e+03	+0.686
3.500	+1.858e+03	+6.552e+03	+1.008e+04	+0.779
3.600	+3.181e+03	+7.171e+03	+1.129e+04	+0.693
3.700	+2.817e+03	+6.192e+03	+9.889e+03	+0.687
3.800	+7.212e+03	+4.468e+03	+9.808e+03	+0.383
3.900	+5.016e+03	+4.955e+03	+9.969e+03	+0.497
4.000	+2.262e+03	+5.861e+03	+1.028e+04	+0.722
4.100	+3.286e+03	+7.734e+03	+9.922e+03	+0.702
4.200	+2.566e+03	+6.781e+03	+1.107e+04	+0.725
4.300	+4.877e+03	+5.219e+03	+9.593e+03	+0.517
4.400	+6.395e+03	+1.277e+03	+9.602e+03	+0.166
4.500	+6.742e+03	+4.701e+03	+9.266e+03	+0.411
4.600	+6.385e+03	+1.513e+03	+9.253e+03	+0.192
4.700	+5.936e+03	+2.123e+03	+9.200e+03	+0.263
4.800	+7.072e+03	+2.620e+03	+9.534e+03	+0.270
4.900	+7.218e+03	+1.746e+03	+9.057e+03	+0.195
5.000	+6.780e+03	+3.695e+03	+9.003e+03	+0.353
5.100	+8.216e+03	+2.425e+03	+1.031e+04	+0.228
5.200	+6.526e+03	+2.366e+03	+9.686e+03	+0.266
5.300	+6.769e+03	+2.818e+03	+9.373e+03	+0.294
5.400	+6.840e+03	+2.845e+03	+1.022e+04	+0.294
5.500	+8.107e+03	+3.743e+03	+1.019e+04	+0.316
5.600	+6.665e+03	+4.261e+03	+1.004e+04	+0.390
5.700	+5.314e+03	+3.539e+03	+1.060e+04	+0.400
5.800	+7.728e+03	+2.384e+03	+1.001e+04	+0.236
5.900	+6.668e+03	+3.215e+03	+1.063e+04	+0.325
6.000	+8.925e+03	+3.389e+03	+9.953e+03	+0.275
6.100	+7.294e+03	+3.057e+03	+1.114e+04	+0.295
6.200	+5.219e+03	+4.257e+03	+1.004e+04	+0.449
6.300	+3.334e+03	+6.230e+03	+1.081e+04	+0.651
6.400	+3.568e+03	+7.958e+03	+1.070e+04	+0.690
6.500	+3.513e+03	+5.846e+03	+1.006e+04	+0.625
6.600	+1.140e+03	+8.071e+03	+1.087e+04	+0.876
6.700	+4.019e+03	+6.585e+03	+9.361e+03	+0.621
6.800	+3.310e+03	+6.616e+03	+1.061e+04	+0.667
6.900	+2.764e+03	+7.352e+03	+8.936e+03	+0.727
7.000	+4.083e+03	+7.414e+03	+9.527e+03	+0.645
7.100	+3.685e+03	+6.478e+03	+9.710e+03	+0.637
7.200	+3.808e+03	+6.142e+03	+9.988e+03	+0.617
7.300	+3.187e+03	+7.561e+03	+1.079e+04	+0.703
7.400	+5.880e+03	+5.248e+03	+9.918e+03	+0.472
7.500	+6.559e+03	+4.023e+03	+9.292e+03	+0.380
7.600	+4.761e+03	+7.167e+03	+9.278e+03	+0.601
7.700	+2.674e+03	+5.320e+03	+9.128e+03	+0.665
7.800	+3.965e+03	+7.917e+03	+1.017e+04	+0.666
7.900	+2.951e+03	+8.198e+03	+1.092e+04	+0.735
8.000	+1.908e+03	+7.034e+03	+1.041e+04	+0.787
8.100	+3.415e+03	+7.541e+03	+9.870e+03	+0.688
8.200	+2.290e+03	+6.634e+03	+9.688e+03	+0.743
8.300	+2.493e+03	+7.018e+03	+1.111e+04	+0.738
8.400	+2.407e+03	+8.027e+03	+1.173e+04	+0.769
8.500	+4.701e+03	+7.827e+03	+9.491e+03	+0.625
8.600	+4.128e+03	+6.813e+03	+1.044e+04	+0.623
8.700	+2.573e+03	+6.319e+03	+1.068e+04	+0.711
8.800	+2.187e+03	+7.320e+03	+1.010e+04	+0.770
8.900	+3.016e+03	+5.950e+03	+1.066e+04	+0.664
9.000	+3.797e+03	+6.182e+03	+9.333e+03	+0.620
9.100	+2.342e+03	+6.267e+03	+9.780e+03	+0.728
9.200	+2.473e+03	+7.577e+03	+1.074e+04	+0.754
9.300	+3.535e+03	+6.944e+03	+1.070e+04	+0.663
9.400	+2.155e+03	+6.507e+03	+8.652e+03	+0.751
9.500	+2.221e+03	+6.820e+03	+1.093e+04	+0.754
9.600	+2.450e+03	+7.946e+03	+8.575e+03	+0.764
9.700	+4.634e+03	+6.233e+03	+9.956e+03	+0.574
9.800	+5.780e+03	+3.752e+03	+1.022e+04	+0.394
9.900	+5.634e+03	+3.133e+03	+1.079e+04	+0.357
10.000	+6.782e+03	+3.231e+03	+8.664e+03	+0.323
10.100	+5.755e+03	+5.039e+03	+1.007e+04	+0.467
10.200	+4.032e+03	+5.815e+03	+9.864e+03	+0.591
10.300	+2.795e+03	+6.437e+03	+1.012e+04	+0.697
10.400	+6.044e+03	+4.145e+03	+9.596e+03	+0.407
10.500	+7.697e+03	+3.666e+03	+9.425e+03	+0.323
10.600	+7.315e+03	+2.454e+03	+1.014e+04	+0.251
10.700	+5.440e+03	+2.996e+03	+1.110e+04	+0.355
10.800	+7.594e+03	+1.576e+03	+1.076e+04	+0.172
10.900	+6.968e+03	+3.807e+03	+1.161e+04	+0.353
11.000	+6.899e+03	+4.764e+03	+9.453e+03	+0.408
11.100	+6.931e+03	+2.493e+03	+9.351e+03	+0.265
11.200	+7.199e+03	+3.396e+03	+9.879e+03	+0.321
11.300	+6.829e+03	+2.745e+03	+8.995e+03	+0.287
11.400	+5.934e+03	+3.277e+03	+1.011e+04	+0.356
11.500	+6.719e+03	+3.923e+03	+9.561e+03	+0.369
11.600	+6.563e+03	+2.034e+03	+9.894e+03	+0.237
11.700	+7.006e+03	+3.375e+03	+9.849e+03	+0.325
11.800	+8.426e+03	+3.248e+03	+9.377e+03	+0.278
11.900	+6.359e+03	+3.530e+03	+9.786e+03	+0.357
12.000	+6.160e+03	+4.040e+03	+9.743e+03	+0.396
12.100	+7.510e+03	+1.564e+03	+9.711e+03	+0.172
12.200	+6.179e+03	+3.664e+03	+1.083e+04	+0.372
12.300	+2.783e+03	+6.235e+03	+9.272e+03	+0.691
12.400	+3.333e+03	+5.783e+03	+9.610e+03	+0.634
12.500	+2.414e+03	+7.514e+03	+1.104e+04	+0.757
12.600	+3.624e+03	+5.709e+03	+9.715e+03	+0.612
12.700	+2.409e+03	+8.520e+03	+9.469e+03	+0.780
12.800	+2.691e+03	+7.181e+03	+9.291e+03	+0.727
12.900	+1.838e+03	+7.892e+03	+1.009e+04	+0.811
13.000	+2.613e+03	+6.981e+03	+1.064e+04	+0.728
13.100	+2.901e+03	+5.959e+03	+9.423e+03	+0.673
13.200	+3.925e+03	+6.561e+03	+9.375e+03	+0.626
13.300	+3.464e+03	+6.671e+03	+1.037e+04	+0.658
13.400	+1.883e+03	+6.923e+03	+1.103e+04	+0.786
13.500	+4.778e+03	+7.004e+03	+1.064e+04	+0.594
13.600	+3.242e+03	+6.445e+03	+1.051e+04	+0.665
13.700	+4.306e+03	+7.651e+03	+8.973e+03	+0.640
13.800	+2.276e+03	+6.978e+03	+1.129e+04	+0.754
