%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+7.893e+03	+2.186e+03	+1.001e+04	+0.217
0.100	+5.621e+03	+3.423e+03	+9.201e+03	+0.378
0.200	+7.654e+03	+2.189e+03	+9.562e+03	+0.222
0.300	+6.947e+03	+2.847e+03	+1.027e+04	+0.291
0.400	+6.815e+03	+1.184e+03	+1.007e+04	+0.148
0.500	+5.356e+03	+2.013e+03	+1.104e+04	+0.273
0.600	+6.869e+03	+3.552e+03	+9.096e+03	+0.341
0.700	+8.164e+03	+2.912e+03	+9.717e+03	+0.263
0.800	+6.994e+03	+7.814e+02	+8.345e+03	+0.101
0.900	+2.739e+03	+6.841e+03	+9.209e+03	+0.714
1.000	+2.178e+03	+7.040e+03	+1.089e+04	+0.764
1.100	+1.589e+03	+6.581e+03	+1.058e+04	+0.806
1.200	+3.381e+03	+7.041e+03	+8.910e+03	+0.676
1.300	+2.599e+03	+8.117e+03	+8.349e+03	+0.757
1.400	+3.887e+03	+7.039e+03	+8.608e+03	+0.644
1.500	+3.643e+03	+7.837e+03	+9.048e+03	+0.683
1.600	+5.508e+03	+5.185e+03	+9.584e+03	+0.485
1.700	+7.246e+03	+3.726e+03	+1.149e+04	+0.340
1.800	+6.639e+03	+3.703e+03	+1.003e+04	+0.358
1.900	+6.579e+03	+1.835e+03	+1.065e+04	+0.218
2.000	+7.280e+03	+3.068e+03	+1.036e+04	+0.296
2.100	+6.346e+03	+3.515e+03	+8.885e+03	+0.356
2.200	+4.757e+03	+5.582e+03	+1.004e+04	+0.540
2.300	+3.150e+03	+6.047e+03	+1.019e+04	+0.657
2.400	+3.805e+03	+6.720e+03	+1.062e+04	+0.638
2.500	+3.201e+03	+5.968e+03	+9.543e+03	+0.651
2.600	+3.882e+03	+6.284e+03	+1.027e+04	+0.618
2.700	+2.764e+03	+7.511e+03	+1.081e+04	+0.731
2.800	+3.409e+03	+8.560e+03	+8.383e+03	+0.715
2.900	+2.603e+03	+7.248e+03	+1.010e+04	+0.736
3.000	+3.045e+03	+7.249e+03	+1.003e+04	+0.704
3.100	+2.326e+03	+6.729e+03	+1.040e+04	+0.743
3.200	+1.758e+03	+7.358e+03	+1.037e+04	+0.807
3.300	+3.373e+03	+8.660e+03	+9.274e+03	+0.720
3.400	+4.155e+03	+7.321e+03	+1.084e+04	+0.638
3.500	+1.706e+03	+6.637e+03	+9.283e+03	+0.795
3.600	+1.292e+03	+7.753e+03	+1.028e+04	+0.857
3.700	+3.187e+03	+6.646e+03	+1.040e+04	+0.676
3.800	+3.697e+03	+6.322e+03	+1.073e+04	+0.631
3.900	+2.617e+03	+8.024e+03	+9.552e+03	+0.754
4.000	+2.775e+03	+7.555e+03	+1.084e+04	+0.731
4.100	+3.525e+03	+7.191e+03	+8.425e+03	+0.671
4.200	+3.328e+03	+6.090e+03	+9.670e+03	+0.647
4.300	+3.753e+03	+4.599e+03	+9.700e+03	+0.551
4.400	+4.479e+03	+7.679e+03	+1.074e+04	+0.632
4.500	+2.922e+03	+6.622e+03	+9.631e+03	+0.694
4.600	+2.950e+03	+6.650e+03	+9.278e+03	+0.693
4.700	+2.790e+03	+5.850e+03	+1.041e+04	+0.677
4.800	+3.532e+03	+5.829e+03	+9.217e+03	+0.623
4.900	+2.750e+03	+7.342e+03	+8.883e+03	+0.727
5.000	+2.217e+03	+7.944e+03	+1.007e+04	+0.782
5.100	+2.963e+03	+6.863e+03	+1.031e+04	+0.698
5.200	+3.004e+03	+7.070e+03	+8.265e+03	+0.702
5.300	+3.653e+03	+6.177e+03	+1.065e+04	+0.628
5.400	+3.188e+03	+6.124e+03	+9.972e+03	+0.658
5.500	+6.148e+03	+4.531e+03	+9.700e+03	+0.424
5.600	+4.898e+03	+6.303e+03	+1.103e+04	+0.563
5.700	+1.447e+03	+6.911e+03	+9.038e+03	+0.827
5.800	+2.840e+03	+8.310e+03	+9.561e+03	+0.745
5.900	+3.712e+03	+6.902e+03	+9.308e+03	+0.650
6.000	+2.692e+03	+8.292e+03	+1.088e+04	+0.755
6.100	+2.022e+03	+7.543e+03	+9.579e+03	+0.789
6.200	+2.392e+03	+6.647e+03	+8.985e+03	+0.735
6.300	+6.130e+03	+4.859e+03	+9.983e+03	+0.442
6.400	+6.486e+03	+4.072e+03	+8.938e+03	+0.386
6.500	+6.241e+03	+3.321e+03	+9.774e+03	+0.347
6.600	+8.408e+03	+2.833e+03	+1.042e+04	+0.252
6.700	+5.851e+03	+3.762e+03	+8.113e+03	+0.391
6.800	+7.969e+03	+2.223e+03	+9.191e+03	+0.218
6.900	+4.631e+03	+4.874e+03	+9.962e+03	+0.513
7.000	+2.359e+03	+7.038e+03	+1.018e+04	+0.749
7.100	+6.255e+03	+4.165e+03	+1.042e+04	+0.400
