%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.196e+03	+7.147e+03	+9.806e+03	+0.630
0.100	+2.613e+03	+6.267e+03	+9.827e+03	+0.706
0.200	+2.543e+03	+7.859e+03	+1.166e+04	+0.756
0.300	+3.349e+03	+7.840e+03	+1.002e+04	+0.701
0.400	+3.904e+03	+6.285e+03	+9.293e+03	+0.617
0.500	+4.676e+03	+5.642e+03	+9.884e+03	+0.547
0.600	+6.476e+03	+4.484e+03	+9.364e+03	+0.409
0.700	+7.835e+03	+3.377e+03	+1.129e+04	+0.301
0.800	+6.031e+03	+3.168e+03	+9.704e+03	+0.344
0.900	+5.460e+03	+3.493e+03	+9.938e+03	+0.390
1.000	+8.114e+03	+4.575e+03	+9.356e+03	+0.361
1.100	+5.809e+03	+4.406e+03	+8.800e+03	+0.431
1.200	+3.073e+03	+7.219e+03	+1.047e+04	+0.701
1.300	+1.248e+03	+8.048e+03	+1.030e+04	+0.866
1.400	+2.109e+03	+7.060e+03	+1.161e+04	+0.770
1.500	+3.761e+03	+7.622e+03	+9.939e+03	+0.670
1.600	+3.127e+03	+7.514e+03	+9.287e+03	+0.706
1.700	+2.874e+03	+6.649e+03	+7.686e+03	+0.698
1.800	+3.230e+03	+6.881e+03	+9.949e+03	+0.681
1.900	+2.715e+03	+7.284e+03	+1.042e+04	+0.728
2.000	+2.522e+03	+6.669e+03	+8.718e+03	+0.726
2.100	+5.958e+03	+5.233e+03	+9.956e+03	+0.468
2.200	+7.099e+03	+3.072e+03	+9.952e+03	+0.302
2.300	+6.948e+03	+2.867e+03	+9.657e+03	+0.292
2.400	+7.426e+03	+2.969e+03	+1.050e+04	+0.286
2.500	+5.913e+03	+3.412e+03	+8.895e+03	+0.366
2.600	+6.397e+03	+3.948e+03	+1.056e+04	+0.382
2.700	+7.382e+03	+3.069e+03	+9.946e+03	+0.294
2.800	+6.680e+03	+3.076e+03	+1.041e+04	+0.315
2.900	+8.038e+03	+3.704e+03	+9.451e+03	+0.315
3.000	+6.772e+03	+3.476e+03	+1.202e+04	+0.339
3.100	+6.407e+03	+2.625e+03	+1.060e+04	+0.291
3.200	+8.293e+03	+1.154e+03	+9.264e+03	+0.122
3.300	+6.117e+03	+3.262e+03	+1.101e+04	+0.348
3.400	+6.738e+03	+1.685e+03	+9.945e+03	+0.200
3.500	+5.683e+03	+1.672e+03	+1.001e+04	+0.227
3.600	+7.085e+03	+1.916e+03	+1.067e+04	+0.213
3.700	+7.181e+03	+3.471e+03	+9.499e+03	+0.326
3.800	+6.622e+03	+2.571e+03	+9.242e+03	+0.280
3.900	+6.488e+03	+3.293e+03	+1.054e+04	+0.337
4.000	+6.119e+03	+2.081e+03	+9.854e+03	+0.254
4.100	+6.172e+03	+4.580e+03	+9.898e+03	+0.426
4.200	+2.844e+03	+8.458e+03	+8.020e+03	+0.748
4.300	+2.073e+03	+7.675e+03	+8.281e+03	+0.787
4.400	+3.458e+03	+6.809e+03	+1.062e+04	+0.663
4.500	+2.822e+03	+6.916e+03	+9.456e+03	+0.710
4.600	+4.191e+03	+6.601e+03	+9.314e+03	+0.612
4.700	+4.051e+03	+6.556e+03	+1.012e+04	+0.618
4.800	+2.696e+03	+7.076e+03	+9.802e+03	+0.724
4.900	+2.009e+03	+7.413e+03	+9.018e+03	+0.787
5.000	+6.644e+03	+3.550e+03	+1.046e+04	+0.348
5.100	+6.556e+03	+3.421e+03	+1.044e+04	+0.343
5.200	+6.212e+03	+5.125e+03	+1.077e+04	+0.452
5.300	+7.615e+03	+2.504e+03	+1.212e+04	+0.247
5.400	+4.504e+03	+6.152e+03	+1.017e+04	+0.577
5.500	+2.312e+03	+6.135e+03	+1.079e+04	+0.726
5.600	+1.713e+03	+7.286e+03	+1.047e+04	+0.810
5.700	+1.436e+03	+5.515e+03	+9.364e+03	+0.793
5.800	+2.322e+03	+7.035e+03	+9.295e+03	+0.752
5.900	+3.976e+03	+7.500e+03	+1.025e+04	+0.654
6.000	+2.872e+03	+6.656e+03	+9.385e+03	+0.699
6.100	+1.413e+03	+8.468e+03	+9.587e+03	+0.857
6.200	+2.812e+03	+7.230e+03	+9.280e+03	+0.720
6.300	+4.606e+03	+6.705e+03	+9.038e+03	+0.593
6.400	+3.739e+03	+8.053e+03	+9.968e+03	+0.683
6.500	+2.955e+03	+6.408e+03	+1.116e+04	+0.684
6.600	+3.737e+03	+7.825e+03	+9.675e+03	+0.677
6.700	+4.050e+03	+7.115e+03	+1.087e+04	+0.637
6.800	+1.460e+03	+7.481e+03	+1.105e+04	+0.837
6.900	+3.654e+03	+8.326e+03	+1.081e+04	+0.695
7.000	+2.249e+03	+8.482e+03	+1.023e+04	+0.790
7.100	+3.373e+03	+6.636e+03	+1.004e+04	+0.663
7.200	+2.915e+03	+7.048e+03	+9.564e+03	+0.707
7.300	+3.379e+03	+7.768e+03	+9.923e+03	+0.697
7.400	+3.176e+03	+7.912e+03	+1.039e+04	+0.714
7.500	+2.172e+03	+8.005e+03	+8.407e+03	+0.787
7.600	+3.455e+03	+7.314e+03	+8.170e+03	+0.679
7.700	+3.698e+03	+6.965e+03	+1.057e+04	+0.653
7.800	+2.860e+03	+6.805e+03	+1.056e+04	+0.704
7.900	+5.835e+03	+6.734e+03	+9.747e+03	+0.536
8.000	+8.168e+03	+3.221e+03	+1.014e+04	+0.283
8.100	+5.587e+03	+2.286e+03	+1.022e+04	+0.290
