%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+7.438e+03	+3.340e+03	+9.764e+03	+0.310
0.100	+2.702e+03	+8.380e+03	+1.082e+04	+0.756
0.200	+3.985e+03	+6.929e+03	+1.066e+04	+0.635
0.300	+2.694e+03	+7.975e+03	+1.045e+04	+0.747
0.400	+4.344e+03	+5.787e+03	+9.606e+03	+0.571
0.500	+3.821e+03	+6.769e+03	+1.005e+04	+0.639
0.600	+1.506e+03	+5.708e+03	+8.757e+03	+0.791
0.700	+3.141e+03	+7.696e+03	+9.787e+03	+0.710
0.800	+3.267e+03	+6.987e+03	+9.250e+03	+0.681
0.900	+1.940e+03	+6.843e+03	+1.011e+04	+0.779
1.000	+4.563e+03	+5.398e+03	+9.983e+03	+0.542
1.100	+7.258e+03	+2.608e+03	+1.104e+04	+0.264
1.200	+7.363e+03	+2.034e+03	+9.952e+03	+0.216
1.300	+6.170e+03	+3.827e+03	+9.929e+03	+0.383
1.400	+8.474e+03	+2.259e+03	+9.521e+03	+0.210
1.500	+6.959e+03	+2.165e+03	+9.170e+03	+0.237
1.600	+7.472e+03	+3.906e+03	+9.262e+03	+0.343
1.700	+5.556e+03	+3.839e+03	+9.994e+03	+0.409
1.800	+6.911e+03	+3.799e+03	+8.618e+03	+0.355
1.900	+7.000e+03	+3.131e+03	+1.071e+04	+0.309
2.000	+8.057e+03	+3.488e+03	+1.008e+04	+0.302
2.100	+7.200e+03	+2.077e+03	+1.132e+04	+0.224
2.200	+6.483e+03	+4.406e+03	+9.094e+03	+0.405
2.300	+6.213e+03	+3.088e+03	+9.401e+03	+0.332
2.400	+6.774e+03	+3.003e+03	+8.718e+03	+0.307
2.500	+4.087e+03	+5.966e+03	+1.101e+04	+0.593
2.600	+3.741e+03	+6.717e+03	+1.039e+04	+0.642
2.700	+3.112e+03	+6.908e+03	+1.133e+04	+0.689
2.800	+3.676e+03	+5.889e+03	+1.054e+04	+0.616
2.900	+2.932e+03	+6.916e+03	+1.007e+04	+0.702
3.000	+3.636e+03	+5.869e+03	+9.041e+03	+0.617
3.100	+3.761e+03	+5.419e+03	+1.068e+04	+0.590
3.200	+4.206e+03	+7.186e+03	+1.055e+04	+0.631
3.300	+2.324e+03	+7.714e+03	+9.814e+03	+0.768
3.400	+2.954e+03	+6.436e+03	+9.822e+03	+0.685
3.500	+3.126e+03	+6.692e+03	+1.062e+04	+0.682
3.600	+3.089e+03	+6.952e+03	+9.630e+03	+0.692
3.700	+3.046e+03	+6.036e+03	+1.079e+04	+0.665
3.800	+3.193e+03	+6.879e+03	+1.002e+04	+0.683
3.900	+6.819e+03	+3.663e+03	+9.703e+03	+0.349
4.000	+6.030e+03	+3.628e+03	+1.054e+04	+0.376
4.100	+7.975e+03	+3.957e+03	+9.221e+03	+0.332
4.200	+6.516e+03	+2.601e+03	+9.057e+03	+0.285
4.300	+7.781e+03	+2.928e+03	+9.027e+03	+0.273
4.400	+5.720e+03	+3.365e+03	+9.503e+03	+0.370
4.500	+7.319e+03	+2.595e+03	+8.994e+03	+0.262
4.600	+6.311e+03	+3.862e+03	+1.141e+04	+0.380
4.700	+6.849e+03	+1.703e+03	+9.471e+03	+0.199
4.800	+7.616e+03	+1.795e+03	+8.917e+03	+0.191
4.900	+6.351e+03	+2.669e+03	+1.088e+04	+0.296
5.000	+7.084e+03	+4.180e+03	+1.093e+04	+0.371
5.100	+7.170e+03	+2.506e+03	+1.089e+04	+0.259
5.200	+7.572e+03	+1.945e+03	+9.667e+03	+0.204
5.300	+4.398e+03	+5.782e+03	+8.846e+03	+0.568
5.400	+3.129e+03	+7.576e+03	+8.948e+03	+0.708
