%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+2.022e+03	+6.601e+03	+1.104e+04	+0.765
0.100	+2.634e+03	+5.741e+03	+9.177e+03	+0.685
0.200	+2.330e+03	+5.461e+03	+8.878e+03	+0.701
0.300	+9.058e+02	+7.559e+03	+1.058e+04	+0.893
0.400	+3.111e+03	+6.902e+03	+9.383e+03	+0.689
0.500	+3.514e+03	+7.819e+03	+9.879e+03	+0.690
0.600	+3.585e+03	+7.561e+03	+8.619e+03	+0.678
0.700	+4.002e+03	+7.829e+03	+9.333e+03	+0.662
0.800	+4.991e+03	+8.429e+03	+9.821e+03	+0.628
0.900	+5.164e+03	+6.001e+03	+9.501e+03	+0.538
1.000	+7.672e+03	+2.281e+03	+8.846e+03	+0.229
1.100	+7.082e+03	+3.190e+03	+1.103e+04	+0.311
1.200	+5.261e+03	+2.971e+03	+1.185e+04	+0.361
1.300	+6.830e+03	+4.117e+03	+1.019e+04	+0.376
1.400	+7.557e+03	+2.619e+03	+1.010e+04	+0.257
1.500	+8.354e+03	+2.718e+03	+8.911e+03	+0.246
1.600	+6.673e+03	+3.080e+03	+1.032e+04	+0.316
1.700	+6.266e+03	+3.644e+03	+1.019e+04	+0.368
1.800	+4.285e+03	+6.063e+03	+9.805e+03	+0.586
1.900	+2.214e+03	+6.680e+03	+1.012e+04	+0.751
2.000	+3.999e+03	+6.566e+03	+1.022e+04	+0.621
2.100	+2.923e+03	+8.079e+03	+1.032e+04	+0.734
2.200	+2.749e+03	+7.477e+03	+1.031e+04	+0.731
2.300	+4.593e+03	+6.567e+03	+1.063e+04	+0.588
2.400	+3.780e+03	+8.244e+03	+9.243e+03	+0.686
2.500	+1.669e+03	+7.156e+03	+9.057e+03	+0.811
2.600	+3.019e+03	+6.171e+03	+9.483e+03	+0.671
2.700	+4.906e+03	+6.413e+03	+9.436e+03	+0.567
2.800	+5.443e+03	+3.615e+03	+1.043e+04	+0.399
2.900	+6.865e+03	+3.325e+03	+1.141e+04	+0.326
3.000	+7.049e+03	+3.197e+03	+1.045e+04	+0.312
3.100	+6.323e+03	+2.260e+03	+9.468e+03	+0.263
3.200	+6.827e+03	+1.944e+03	+1.092e+04	+0.222
3.300	+6.273e+03	+3.287e+03	+1.046e+04	+0.344
3.400	+7.392e+03	+3.820e+03	+1.140e+04	+0.341
3.500	+6.533e+03	+2.389e+03	+9.533e+03	+0.268
3.600	+6.676e+03	+2.467e+03	+8.712e+03	+0.270
3.700	+7.863e+03	+2.126e+03	+9.348e+03	+0.213
3.800	+6.297e+03	+2.845e+03	+1.088e+04	+0.311
3.900	+5.737e+03	+1.920e+03	+1.168e+04	+0.251
4.000	+6.615e+03	+3.310e+03	+1.035e+04	+0.334
4.100	+7.404e+03	+3.811e+03	+1.062e+04	+0.340
4.200	+6.888e+03	+3.351e+03	+9.357e+03	+0.327
4.300	+8.984e+03	+3.602e+03	+1.046e+04	+0.286
4.400	+7.884e+03	+3.362e+03	+8.281e+03	+0.299
4.500	+8.025e+03	+1.636e+03	+1.079e+04	+0.169
4.600	+7.004e+03	+3.598e+03	+1.026e+04	+0.339
4.700	+7.160e+03	+2.840e+03	+1.054e+04	+0.284
4.800	+6.413e+03	+4.622e+03	+1.047e+04	+0.419
4.900	+7.033e+03	+2.464e+03	+1.083e+04	+0.259
5.000	+5.939e+03	+3.445e+03	+1.070e+04	+0.367
5.100	+7.857e+03	+2.103e+03	+9.874e+03	+0.211
5.200	+5.411e+03	+2.726e+03	+1.063e+04	+0.335
5.300	+7.023e+03	+2.553e+03	+1.129e+04	+0.267
