%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.141e+03	+3.522e+03	+1.010e+04	+0.364
0.100	+2.560e+03	+8.061e+03	+9.585e+03	+0.759
0.200	+2.680e+03	+6.537e+03	+1.073e+04	+0.709
0.300	+2.221e+03	+7.073e+03	+1.035e+04	+0.761
0.400	+2.529e+03	+5.805e+03	+1.148e+04	+0.697
0.500	+4.060e+03	+7.379e+03	+9.779e+03	+0.645
0.600	+3.573e+03	+6.860e+03	+1.076e+04	+0.658
0.700	+1.913e+03	+8.494e+03	+9.709e+03	+0.816
0.800	+2.557e+03	+8.263e+03	+1.084e+04	+0.764
0.900	+3.256e+03	+6.273e+03	+9.003e+03	+0.658
1.000	+3.585e+03	+6.866e+03	+1.062e+04	+0.657
1.100	+3.243e+03	+4.619e+03	+9.343e+03	+0.588
1.200	+3.212e+03	+7.658e+03	+1.007e+04	+0.705
1.300	+2.124e+03	+7.595e+03	+9.767e+03	+0.781
1.400	+4.359e+03	+6.445e+03	+1.109e+04	+0.597
1.500	+3.043e+03	+6.979e+03	+9.364e+03	+0.696
1.600	+4.542e+03	+4.867e+03	+1.062e+04	+0.517
1.700	+6.526e+03	+2.605e+03	+1.090e+04	+0.285
1.800	+6.872e+03	+3.617e+03	+8.951e+03	+0.345
1.900	+8.018e+03	+2.752e+03	+9.264e+03	+0.256
2.000	+7.493e+03	+3.722e+03	+9.396e+03	+0.332
2.100	+7.240e+03	+2.890e+03	+1.073e+04	+0.285
2.200	+5.781e+03	+1.594e+03	+1.013e+04	+0.216
2.300	+6.345e+03	+2.734e+03	+9.758e+03	+0.301
2.400	+6.736e+03	+3.836e+03	+1.055e+04	+0.363
2.500	+4.724e+03	+4.093e+03	+1.005e+04	+0.464
2.600	+7.448e+03	+3.813e+03	+9.868e+03	+0.339
2.700	+6.630e+03	+2.829e+03	+1.026e+04	+0.299
2.800	+8.642e+03	+2.799e+03	+9.161e+03	+0.245
2.900	+6.996e+03	+2.270e+03	+9.230e+03	+0.245
3.000	+8.347e+03	+3.504e+03	+1.112e+04	+0.296
3.100	+6.937e+03	+1.950e+03	+8.754e+03	+0.219
3.200	+7.495e+03	+3.439e+03	+9.933e+03	+0.315
3.300	+7.559e+03	+2.180e+03	+9.478e+03	+0.224
3.400	+6.191e+03	+2.768e+03	+9.267e+03	+0.309
3.500	+6.335e+03	+3.366e+03	+9.554e+03	+0.347
3.600	+7.198e+03	+3.657e+03	+1.045e+04	+0.337
3.700	+6.609e+03	+4.392e+03	+1.033e+04	+0.399
3.800	+7.106e+03	+3.291e+03	+1.018e+04	+0.317
3.900	+6.061e+03	+2.943e+03	+9.983e+03	+0.327
4.000	+6.818e+03	+3.598e+03	+9.506e+03	+0.345
4.100	+5.373e+03	+3.872e+03	+1.092e+04	+0.419
4.200	+7.854e+03	+3.377e+03	+1.072e+04	+0.301
4.300	+5.908e+03	+5.177e+03	+9.788e+03	+0.467
4.400	+4.962e+03	+4.979e+03	+9.952e+03	+0.501
4.500	+7.646e+03	+3.407e+03	+9.123e+03	+0.308
4.600	+6.772e+03	+2.899e+03	+1.038e+04	+0.300
4.700	+6.747e+03	+3.651e+03	+9.912e+03	+0.351
4.800	+7.714e+03	+3.066e+03	+1.054e+04	+0.284
4.900	+6.694e+03	+4.654e+03	+1.102e+04	+0.410
5.000	+7.395e+03	+2.058e+03	+8.546e+03	+0.218
5.100	+8.218e+03	+4.322e+03	+9.597e+03	+0.345
5.200	+6.040e+03	+1.450e+03	+1.070e+04	+0.194
5.300	+6.662e+03	+2.720e+03	+1.023e+04	+0.290
5.400	+4.197e+03	+6.047e+03	+9.248e+03	+0.590
5.500	+3.006e+03	+6.790e+03	+1.102e+04	+0.693
5.600	+3.766e+03	+5.452e+03	+9.691e+03	+0.591
5.700	+1.769e+03	+7.496e+03	+8.857e+03	+0.809
5.800	+3.272e+03	+5.681e+03	+1.008e+04	+0.635
5.900	+2.797e+03	+6.758e+03	+1.035e+04	+0.707
6.000	+4.168e+03	+7.399e+03	+1.135e+04	+0.640
6.100	+4.412e+03	+6.078e+03	+9.707e+03	+0.579
6.200	+2.977e+03	+5.784e+03	+9.853e+03	+0.660
6.300	+3.147e+03	+7.171e+03	+9.307e+03	+0.695
6.400	+3.403e+03	+6.944e+03	+1.014e+04	+0.671
6.500	+1.838e+03	+6.816e+03	+1.073e+04	+0.788
6.600	+1.992e+03	+7.492e+03	+8.224e+03	+0.790
6.700	+3.395e+03	+6.292e+03	+8.915e+03	+0.649
6.800	+2.805e+03	+7.733e+03	+8.751e+03	+0.734
6.900	+3.428e+03	+6.802e+03	+1.150e+04	+0.665
7.000	+2.634e+03	+6.384e+03	+1.142e+04	+0.708
7.100	+3.606e+03	+7.052e+03	+1.031e+04	+0.662
7.200	+2.880e+03	+7.383e+03	+1.098e+04	+0.719
7.300	+3.583e+03	+6.801e+03	+9.776e+03	+0.655
7.400	+2.572e+03	+6.757e+03	+1.039e+04	+0.724
7.500	+1.825e+03	+6.122e+03	+1.033e+04	+0.770
7.600	+1.707e+03	+7.849e+03	+1.118e+04	+0.821
7.700	+2.948e+03	+5.475e+03	+1.201e+04	+0.650
7.800	+4.077e+03	+7.365e+03	+9.176e+03	+0.644
7.900	+4.010e+03	+7.281e+03	+1.012e+04	+0.645
8.000	+2.757e+03	+6.792e+03	+1.001e+04	+0.711
8.100	+3.261e+03	+7.131e+03	+1.049e+04	+0.686
8.200	+5.531e+03	+3.842e+03	+1.039e+04	+0.410
8.300	+5.097e+03	+4.976e+03	+9.560e+03	+0.494
8.400	+2.401e+03	+8.705e+03	+9.340e+03	+0.784
8.500	+3.263e+03	+7.259e+03	+1.000e+04	+0.690
8.600	+3.472e+03	+6.550e+03	+1.010e+04	+0.654
8.700	+2.787e+03	+4.923e+03	+8.804e+03	+0.639
