%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.947e+03	+6.787e+03	+1.020e+04	+0.632
0.100	+5.119e+03	+7.020e+03	+8.836e+03	+0.578
0.200	+5.833e+03	+3.443e+03	+1.022e+04	+0.371
0.300	+5.716e+03	+4.220e+03	+1.042e+04	+0.425
0.400	+7.735e+03	+4.581e+03	+1.153e+04	+0.372
0.500	+7.197e+03	+1.813e+03	+1.029e+04	+0.201
0.600	+7.264e+03	+3.983e+03	+1.028e+04	+0.354
0.700	+7.608e+03	+3.468e+03	+1.047e+04	+0.313
0.800	+6.638e+03	+2.269e+03	+9.439e+03	+0.255
0.900	+5.561e+03	+2.040e+03	+8.455e+03	+0.268
1.000	+3.481e+03	+5.542e+03	+1.075e+04	+0.614
1.100	+1.405e+03	+6.949e+03	+9.463e+03	+0.832
1.200	+3.215e+03	+7.220e+03	+1.073e+04	+0.692
1.300	+3.058e+03	+8.193e+03	+9.369e+03	+0.728
1.400	+1.991e+03	+5.979e+03	+9.369e+03	+0.750
1.500	+3.088e+03	+8.239e+03	+8.917e+03	+0.727
1.600	+1.359e+03	+7.663e+03	+1.030e+04	+0.849
1.700	+2.833e+03	+7.178e+03	+9.888e+03	+0.717
1.800	+1.543e+03	+7.311e+03	+1.058e+04	+0.826
1.900	+6.921e+03	+2.852e+03	+9.913e+03	+0.292
2.000	+7.734e+03	+2.035e+03	+1.010e+04	+0.208
2.100	+8.728e+03	+1.992e+03	+1.076e+04	+0.186
2.200	+5.112e+03	+5.562e+03	+1.060e+04	+0.521
2.300	+2.760e+03	+5.667e+03	+1.042e+04	+0.672
2.400	+3.033e+03	+6.911e+03	+1.083e+04	+0.695
2.500	+3.959e+03	+6.607e+03	+1.011e+04	+0.625
2.600	+2.148e+03	+5.929e+03	+1.037e+04	+0.734
2.700	+1.973e+03	+7.581e+03	+9.499e+03	+0.793
2.800	+2.792e+03	+5.872e+03	+9.805e+03	+0.678
2.900	+3.962e+03	+7.928e+03	+9.225e+03	+0.667
3.000	+2.905e+03	+6.851e+03	+1.023e+04	+0.702
3.100	+1.528e+03	+7.568e+03	+9.636e+03	+0.832
3.200	+3.217e+03	+6.963e+03	+9.813e+03	+0.684
3.300	+3.084e+03	+7.039e+03	+9.803e+03	+0.695
3.400	+3.335e+03	+7.489e+03	+9.482e+03	+0.692
3.500	+4.525e+03	+5.315e+03	+9.831e+03	+0.540
3.600	+7.183e+03	+3.163e+03	+1.116e+04	+0.306
3.700	+6.391e+03	+2.904e+03	+1.066e+04	+0.312
3.800	+7.375e+03	+3.820e+03	+9.772e+03	+0.341
3.900	+5.960e+03	+2.496e+03	+9.926e+03	+0.295
4.000	+6.158e+03	+3.214e+03	+8.893e+03	+0.343
4.100	+7.000e+03	+2.178e+03	+1.038e+04	+0.237
4.200	+7.414e+03	+2.946e+03	+1.066e+04	+0.284
4.300	+6.962e+03	+2.528e+03	+9.430e+03	+0.266
4.400	+5.738e+03	+3.041e+03	+9.559e+03	+0.346
4.500	+6.733e+03	+2.814e+03	+1.078e+04	+0.295
4.600	+6.192e+03	+2.056e+03	+1.032e+04	+0.249
4.700	+5.966e+03	+2.041e+03	+1.057e+04	+0.255
4.800	+6.230e+03	+2.568e+03	+1.036e+04	+0.292
4.900	+7.332e+03	+2.914e+03	+1.182e+04	+0.284
5.000	+6.427e+03	+3.242e+03	+9.514e+03	+0.335
5.100	+7.253e+03	+2.944e+03	+1.067e+04	+0.289
5.200	+3.577e+03	+6.740e+03	+9.877e+03	+0.653
5.300	+3.733e+03	+6.509e+03	+1.001e+04	+0.636
5.400	+3.758e+03	+6.628e+03	+9.297e+03	+0.638
5.500	+3.242e+03	+8.253e+03	+1.046e+04	+0.718
5.600	+2.594e+03	+4.855e+03	+9.990e+03	+0.652
5.700	+7.267e+03	+3.751e+03	+8.577e+03	+0.340
5.800	+7.898e+03	+2.840e+03	+8.282e+03	+0.264
5.900	+7.760e+03	+3.284e+03	+1.098e+04	+0.297
6.000	+5.982e+03	+3.447e+03	+9.078e+03	+0.366
6.100	+6.001e+03	+2.298e+03	+1.044e+04	+0.277
6.200	+7.100e+03	+2.382e+03	+9.320e+03	+0.251
6.300	+7.288e+03	+2.548e+03	+1.057e+04	+0.259
6.400	+7.921e+03	+1.990e+03	+9.517e+03	+0.201
6.500	+7.977e+03	+2.008e+03	+1.005e+04	+0.201
6.600	+6.072e+03	+1.488e+03	+1.006e+04	+0.197
6.700	+6.495e+03	+2.521e+03	+9.522e+03	+0.280
6.800	+7.070e+03	+3.602e+03	+1.007e+04	+0.338
6.900	+7.325e+03	+4.227e+03	+9.682e+03	+0.366
7.000	+6.261e+03	+1.353e+03	+9.573e+03	+0.178
7.100	+7.102e+03	+3.381e+03	+9.252e+03	+0.323
7.200	+5.495e+03	+3.567e+03	+1.104e+04	+0.394
7.300	+6.229e+03	+2.844e+03	+9.200e+03	+0.313
7.400	+6.648e+03	+1.608e+03	+1.001e+04	+0.195
7.500	+8.532e+03	+3.285e+03	+9.764e+03	+0.278
7.600	+6.733e+03	+2.147e+03	+1.036e+04	+0.242
7.700	+7.068e+03	+2.203e+03	+9.038e+03	+0.238
7.800	+5.959e+03	+2.659e+03	+8.399e+03	+0.308
7.900	+6.300e+03	+3.207e+03	+1.052e+04	+0.337
8.000	+7.406e+03	+2.848e+03	+1.069e+04	+0.278
8.100	+3.363e+03	+6.934e+03	+9.927e+03	+0.673
8.200	+2.464e+03	+6.799e+03	+1.125e+04	+0.734
8.300	+2.250e+03	+8.345e+03	+9.221e+03	+0.788
8.400	+2.338e+03	+7.425e+03	+1.056e+04	+0.761
8.500	+3.089e+03	+7.043e+03	+1.050e+04	+0.695
8.600	+3.316e+03	+5.386e+03	+8.903e+03	+0.619
8.700	+2.712e+03	+5.918e+03	+1.056e+04	+0.686
8.800	+2.654e+03	+7.546e+03	+7.659e+03	+0.740
8.900	+3.269e+03	+6.328e+03	+1.023e+04	+0.659
9.000	+3.373e+03	+4.919e+03	+9.929e+03	+0.593
9.100	+2.612e+03	+6.749e+03	+9.853e+03	+0.721
9.200	+5.634e+03	+5.506e+03	+1.073e+04	+0.494
9.300	+7.461e+03	+3.436e+03	+8.615e+03	+0.315
9.400	+6.635e+03	+2.085e+03	+1.060e+04	+0.239
9.500	+7.433e+03	+3.808e+03	+1.053e+04	+0.339
9.600	+7.443e+03	+3.230e+03	+9.304e+03	+0.303
9.700	+5.720e+03	+3.102e+03	+1.101e+04	+0.352
9.800	+6.727e+03	+2.530e+03	+1.093e+04	+0.273
9.900	+8.199e+03	+2.087e+03	+9.974e+03	+0.203
10.000	+7.004e+03	+3.779e+03	+9.449e+03	+0.350
10.100	+7.330e+03	+3.770e+03	+1.032e+04	+0.340
10.200	+7.514e+03	+4.754e+03	+9.896e+03	+0.388
10.300	+5.996e+03	+4.278e+03	+9.369e+03	+0.416
10.400	+6.174e+03	+2.570e+03	+1.022e+04	+0.294
10.500	+6.568e+03	+3.039e+03	+9.238e+03	+0.316
10.600	+7.394e+03	+2.993e+03	+1.063e+04	+0.288
10.700	+7.877e+03	+3.113e+03	+1.008e+04	+0.283
10.800	+6.987e+03	+4.026e+03	+9.826e+03	+0.366
10.900	+6.791e+03	+4.631e+03	+1.056e+04	+0.405
11.000	+7.440e+03	+3.338e+03	+1.089e+04	+0.310
11.100	+6.439e+03	+3.425e+03	+9.469e+03	+0.347
11.200	+6.296e+03	+3.069e+03	+9.517e+03	+0.328
11.300	+6.664e+03	+2.704e+03	+9.034e+03	+0.289
11.400	+6.413e+03	+2.615e+03	+1.100e+04	+0.290
11.500	+8.018e+03	+3.014e+03	+1.045e+04	+0.273
11.600	+7.926e+03	+2.907e+03	+1.022e+04	+0.268
11.700	+7.016e+03	+2.562e+03	+9.217e+03	+0.268
11.800	+8.051e+03	+4.120e+03	+9.466e+03	+0.339
11.900	+7.404e+03	+2.249e+03	+1.028e+04	+0.233
12.000	+8.098e+03	+2.807e+03	+9.124e+03	+0.257
12.100	+8.109e+03	+3.060e+03	+1.080e+04	+0.274
12.200	+8.539e+03	+3.389e+03	+9.830e+03	+0.284
12.300	+5.849e+03	+3.275e+03	+1.086e+04	+0.359
12.400	+3.544e+03	+6.316e+03	+9.196e+03	+0.641
12.500	+2.346e+03	+6.388e+03	+9.580e+03	+0.731
12.600	+2.436e+03	+7.629e+03	+1.073e+04	+0.758
12.700	+1.580e+03	+7.717e+03	+1.092e+04	+0.830
12.800	+2.644e+03	+6.072e+03	+8.526e+03	+0.697
12.900	+3.446e+03	+5.720e+03	+8.574e+03	+0.624
13.000	+2.637e+03	+7.944e+03	+9.792e+03	+0.751
13.100	+3.624e+03	+7.712e+03	+1.073e+04	+0.680
13.200	+2.644e+03	+7.471e+03	+9.485e+03	+0.739
13.300	+3.867e+03	+7.049e+03	+1.001e+04	+0.646
13.400	+3.479e+03	+5.517e+03	+9.924e+03	+0.613
13.500	+2.118e+03	+6.517e+03	+9.925e+03	+0.755
13.600	+3.976e+03	+7.053e+03	+9.971e+03	+0.640
13.700	+3.188e+03	+7.391e+03	+9.995e+03	+0.699
13.800	+4.195e+03	+8.307e+03	+8.870e+03	+0.664
13.900	+3.205e+03	+7.259e+03	+9.192e+03	+0.694
14.000	+2.387e+03	+7.274e+03	+1.028e+04	+0.753
14.100	+2.704e+03	+6.836e+03	+1.028e+04	+0.717
14.200	+2.203e+03	+6.929e+03	+9.482e+03	+0.759
14.300	+3.351e+03	+6.593e+03	+9.550e+03	+0.663
14.400	+3.011e+03	+6.623e+03	+9.613e+03	+0.687
14.500	+2.539e+03	+7.464e+03	+8.689e+03	+0.746
14.600	+3.683e+03	+7.154e+03	+9.495e+03	+0.660
14.700	+2.737e+03	+6.450e+03	+1.049e+04	+0.702
14.800	+3.357e+03	+5.883e+03	+9.758e+03	+0.637
14.900	+2.992e+03	+7.164e+03	+1.000e+04	+0.705
15.000	+3.345e+03	+7.316e+03	+1.056e+04	+0.686
15.100	+2.587e+03	+6.153e+03	+1.048e+04	+0.704
15.200	+3.168e+03	+7.023e+03	+1.001e+04	+0.689
15.300	+4.985e+03	+4.774e+03	+9.082e+03	+0.489
15.400	+4.352e+03	+3.881e+03	+1.050e+04	+0.471
15.500	+2.985e+03	+6.194e+03	+9.864e+03	+0.675
15.600	+3.970e+03	+6.491e+03	+1.026e+04	+0.620
15.700	+3.947e+03	+7.225e+03	+9.791e+03	+0.647
15.800	+2.571e+03	+6.214e+03	+9.901e+03	+0.707
15.900	+4.463e+03	+6.882e+03	+9.600e+03	+0.607
16.000	+3.298e+03	+6.795e+03	+9.727e+03	+0.673
16.100	+3.998e+03	+7.994e+03	+9.755e+03	+0.667
16.200	+1.258e+03	+7.122e+03	+9.427e+03	+0.850
16.300	+7.489e+03	+3.705e+03	+9.019e+03	+0.331
16.400	+7.879e+03	+4.253e+03	+1.116e+04	+0.351
16.500	+7.208e+03	+1.882e+03	+1.029e+04	+0.207
16.600	+7.525e+03	+3.991e+03	+9.977e+03	+0.347
16.700	+2.984e+03	+6.177e+03	+1.039e+04	+0.674
16.800	+2.857e+03	+5.850e+03	+1.031e+04	+0.672
16.900	+2.374e+03	+6.357e+03	+1.106e+04	+0.728
17.000	+3.243e+03	+6.241e+03	+9.545e+03	+0.658
17.100	+3.318e+03	+7.003e+03	+1.035e+04	+0.679
17.200	+3.450e+03	+5.992e+03	+9.991e+03	+0.635
17.300	+3.352e+03	+7.459e+03	+7.926e+03	+0.690
17.400	+2.789e+03	+6.902e+03	+1.101e+04	+0.712
17.500	+3.358e+03	+8.432e+03	+1.096e+04	+0.715
17.600	+3.222e+03	+8.665e+03	+1.109e+04	+0.729
17.700	+2.393e+03	+5.934e+03	+9.607e+03	+0.713
17.800	+1.500e+03	+5.746e+03	+1.031e+04	+0.793
17.900	+2.171e+03	+7.210e+03	+9.739e+03	+0.769
18.000	+3.734e+03	+6.919e+03	+1.031e+04	+0.649
18.100	+4.332e+03	+7.101e+03	+9.880e+03	+0.621
18.200	+2.451e+03	+6.398e+03	+1.051e+04	+0.723
18.300	+4.056e+03	+6.694e+03	+1.093e+04	+0.623
18.400	+3.147e+03	+6.930e+03	+9.658e+03	+0.688
18.500	+2.828e+03	+7.372e+03	+1.063e+04	+0.723
18.600	+2.849e+03	+7.649e+03	+8.210e+03	+0.729
18.700	+3.495e+03	+5.893e+03	+1.164e+04	+0.628
18.800	+2.320e+03	+7.600e+03	+1.069e+04	+0.766
18.900	+2.190e+03	+7.097e+03	+1.074e+04	+0.764
19.000	+3.438e+03	+7.294e+03	+1.133e+04	+0.680
19.100	+3.701e+03	+6.618e+03	+1.036e+04	+0.641
19.200	+2.474e+03	+6.638e+03	+8.909e+03	+0.729
19.300	+3.563e+03	+7.798e+03	+9.137e+03	+0.686
19.400	+3.173e+03	+5.859e+03	+1.012e+04	+0.649
19.500	+3.337e+03	+7.077e+03	+8.660e+03	+0.680
19.600	+2.724e+03	+7.628e+03	+1.112e+04	+0.737
19.700	+4.011e+03	+7.547e+03	+1.059e+04	+0.653
19.800	+2.167e+03	+7.614e+03	+9.652e+03	+0.778
19.900	+4.556e+03	+5.601e+03	+1.193e+04	+0.551
20.000	+2.581e+03	+8.579e+03	+1.002e+04	+0.769
20.100	+1.969e+03	+6.985e+03	+1.004e+04	+0.780
20.200	+2.904e+03	+7.054e+03	+1.124e+04	+0.708
20.300	+3.952e+03	+5.618e+03	+1.046e+04	+0.587
20.400	+1.462e+03	+7.238e+03	+9.378e+03	+0.832
20.500	+2.599e+03	+8.085e+03	+1.016e+04	+0.757
20.600	+2.373e+03	+6.703e+03	+9.582e+03	+0.739
20.700	+4.435e+03	+8.365e+03	+9.017e+03	+0.654
20.800	+3.237e+03	+7.835e+03	+1.087e+04	+0.708
20.900	+1.603e+03	+6.860e+03	+1.038e+04	+0.811
21.000	+2.859e+03	+6.805e+03	+9.622e+03	+0.704
21.100	+2.490e+03	+6.225e+03	+1.068e+04	+0.714
21.200	+3.986e+03	+6.370e+03	+8.462e+03	+0.615
21.300	+4.479e+03	+8.048e+03	+1.112e+04	+0.642
21.400	+2.762e+03	+5.650e+03	+9.514e+03	+0.672
21.500	+3.657e+03	+6.790e+03	+9.738e+03	+0.650
21.600	+4.000e+03	+6.445e+03	+1.075e+04	+0.617
21.700	+3.208e+03	+6.720e+03	+9.837e+03	+0.677
21.800	+1.378e+03	+6.929e+03	+1.111e+04	+0.834
21.900	+3.802e+03	+7.365e+03	+9.071e+03	+0.660
22.000	+2.892e+03	+6.847e+03	+1.061e+04	+0.703
22.100	+2.715e+03	+7.454e+03	+1.199e+04	+0.733
22.200	+3.332e+03	+6.548e+03	+1.089e+04	+0.663
22.300	+3.658e+03	+6.612e+03	+1.091e+04	+0.644
22.400	+3.608e+03	+6.767e+03	+9.340e+03	+0.652
22.500	+2.512e+03	+6.763e+03	+8.227e+03	+0.729
22.600	+4.920e+03	+7.514e+03	+1.008e+04	+0.604
22.700	+2.603e+03	+7.406e+03	+1.137e+04	+0.740
22.800	+2.927e+03	+6.701e+03	+9.636e+03	+0.696
22.900	+2.110e+03	+7.333e+03	+1.099e+04	+0.777
23.000	+3.776e+03	+7.848e+03	+9.147e+03	+0.675
23.100	+3.006e+03	+6.669e+03	+1.181e+04	+0.689
23.200	+3.061e+03	+6.687e+03	+8.878e+03	+0.686
23.300	+3.134e+03	+5.342e+03	+9.690e+03	+0.630
23.400	+2.723e+03	+6.618e+03	+8.836e+03	+0.708
23.500	+5.220e+03	+7.853e+03	+1.166e+04	+0.601
