%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.431e+03	+3.499e+03	+9.126e+03	+0.392
0.100	+6.317e+03	+2.160e+03	+9.998e+03	+0.255
0.200	+8.082e+03	+4.089e+03	+9.582e+03	+0.336
0.300	+4.263e+03	+6.086e+03	+9.153e+03	+0.588
0.400	+2.597e+03	+6.391e+03	+9.984e+03	+0.711
0.500	+1.284e+03	+6.454e+03	+9.649e+03	+0.834
0.600	+2.234e+03	+7.215e+03	+9.956e+03	+0.764
0.700	+3.237e+03	+7.416e+03	+1.032e+04	+0.696
0.800	+3.536e+03	+9.209e+03	+1.112e+04	+0.723
0.900	+3.775e+03	+7.093e+03	+1.086e+04	+0.653
1.000	+2.339e+03	+6.161e+03	+1.051e+04	+0.725
1.100	+5.512e+03	+4.506e+03	+1.119e+04	+0.450
1.200	+3.977e+03	+6.363e+03	+1.050e+04	+0.615
1.300	+3.321e+03	+6.777e+03	+1.074e+04	+0.671
1.400	+4.242e+03	+6.677e+03	+1.119e+04	+0.612
1.500	+3.547e+03	+6.959e+03	+1.028e+04	+0.662
1.600	+3.216e+03	+7.716e+03	+8.675e+03	+0.706
1.700	+3.776e+03	+6.365e+03	+1.150e+04	+0.628
1.800	+2.942e+03	+7.125e+03	+1.103e+04	+0.708
1.900	+1.904e+03	+4.965e+03	+9.215e+03	+0.723
2.000	+1.872e+03	+6.384e+03	+8.791e+03	+0.773
2.100	+2.592e+03	+7.024e+03	+9.389e+03	+0.730
2.200	+2.380e+03	+6.282e+03	+9.271e+03	+0.725
2.300	+3.208e+03	+7.515e+03	+1.052e+04	+0.701
2.400	+3.047e+03	+7.428e+03	+8.883e+03	+0.709
2.500	+2.758e+03	+5.156e+03	+1.032e+04	+0.652
2.600	+3.383e+03	+6.706e+03	+1.003e+04	+0.665
2.700	+3.385e+03	+6.367e+03	+1.072e+04	+0.653
2.800	+1.817e+03	+7.027e+03	+8.762e+03	+0.795
2.900	+2.420e+03	+7.520e+03	+9.601e+03	+0.757
3.000	+2.229e+03	+6.376e+03	+1.086e+04	+0.741
3.100	+2.093e+03	+6.598e+03	+9.264e+03	+0.759
3.200	+1.966e+03	+6.315e+03	+1.013e+04	+0.763
3.300	+4.282e+03	+6.161e+03	+9.952e+03	+0.590
3.400	+7.232e+03	+4.124e+03	+1.022e+04	+0.363
3.500	+5.191e+03	+4.168e+03	+1.151e+04	+0.445
3.600	+6.694e+03	+3.317e+03	+9.186e+03	+0.331
3.700	+2.536e+03	+5.707e+03	+1.131e+04	+0.692
3.800	+4.552e+03	+7.462e+03	+1.063e+04	+0.621
3.900	+3.050e+03	+6.902e+03	+1.080e+04	+0.694
