%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.786e+03	+3.870e+03	+9.443e+03	+0.401
0.100	+3.711e+03	+8.191e+03	+8.505e+03	+0.688
0.200	+3.362e+03	+8.110e+03	+9.974e+03	+0.707
0.300	+2.721e+03	+7.575e+03	+1.070e+04	+0.736
0.400	+2.983e+03	+8.416e+03	+9.608e+03	+0.738
0.500	+3.747e+03	+5.994e+03	+1.095e+04	+0.615
0.600	+3.407e+03	+5.226e+03	+9.060e+03	+0.605
0.700	+6.367e+03	+4.161e+03	+1.123e+04	+0.395
0.800	+6.418e+03	+1.654e+03	+9.276e+03	+0.205
0.900	+6.336e+03	+2.942e+03	+1.021e+04	+0.317
1.000	+7.192e+03	+4.492e+03	+1.074e+04	+0.384
1.100	+6.292e+03	+2.004e+03	+9.513e+03	+0.242
1.200	+7.056e+03	+2.712e+03	+1.009e+04	+0.278
1.300	+8.054e+03	+2.461e+03	+9.819e+03	+0.234
1.400	+7.616e+03	+3.611e+03	+9.443e+03	+0.322
1.500	+7.680e+03	+2.590e+03	+1.035e+04	+0.252
1.600	+7.496e+03	+2.443e+03	+8.143e+03	+0.246
1.700	+7.921e+03	+3.202e+03	+9.358e+03	+0.288
1.800	+5.954e+03	+3.391e+03	+1.014e+04	+0.363
1.900	+6.018e+03	+3.522e+03	+9.528e+03	+0.369
2.000	+6.516e+03	+4.274e+03	+9.122e+03	+0.396
2.100	+6.806e+03	+2.509e+03	+8.816e+03	+0.269
2.200	+6.250e+03	+2.868e+03	+1.020e+04	+0.315
2.300	+6.038e+03	+4.279e+03	+1.132e+04	+0.415
2.400	+8.152e+03	+3.858e+03	+1.001e+04	+0.321
2.500	+6.548e+03	+2.830e+03	+1.002e+04	+0.302
2.600	+6.890e+03	+3.328e+03	+1.113e+04	+0.326
2.700	+7.277e+03	+2.546e+03	+9.135e+03	+0.259
2.800	+5.157e+03	+2.908e+03	+1.072e+04	+0.361
2.900	+8.600e+03	+2.668e+03	+9.626e+03	+0.237
3.000	+7.553e+03	+1.875e+03	+9.724e+03	+0.199
3.100	+5.342e+03	+3.149e+03	+9.289e+03	+0.371
3.200	+8.025e+03	+3.969e+03	+9.544e+03	+0.331
3.300	+7.303e+03	+1.734e+03	+9.691e+03	+0.192
3.400	+4.976e+03	+3.273e+03	+8.765e+03	+0.397
3.500	+7.267e+03	+4.023e+03	+9.736e+03	+0.356
3.600	+7.392e+03	+4.158e+03	+1.010e+04	+0.360
3.700	+7.389e+03	+3.247e+03	+9.478e+03	+0.305
3.800	+8.039e+03	+2.235e+03	+1.092e+04	+0.218
3.900	+8.567e+03	+3.050e+03	+1.167e+04	+0.263
4.000	+7.296e+03	+3.670e+03	+9.613e+03	+0.335
4.100	+5.800e+03	+2.535e+03	+9.347e+03	+0.304
4.200	+8.105e+03	+1.096e+03	+1.151e+04	+0.119
