%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.803e+03	+2.272e+03	+1.034e+04	+0.250
0.100	+6.971e+03	+4.219e+03	+9.838e+03	+0.377
0.200	+5.592e+03	+3.865e+03	+9.274e+03	+0.409
0.300	+7.557e+03	+1.297e+03	+1.062e+04	+0.147
0.400	+6.373e+03	+2.310e+03	+1.007e+04	+0.266
0.500	+7.889e+03	+2.572e+03	+1.039e+04	+0.246
0.600	+6.605e+03	+4.556e+03	+1.026e+04	+0.408
0.700	+2.347e+03	+5.588e+03	+9.554e+03	+0.704
0.800	+3.140e+03	+7.662e+03	+9.248e+03	+0.709
0.900	+2.674e+03	+6.812e+03	+1.019e+04	+0.718
1.000	+3.816e+03	+7.589e+03	+1.171e+04	+0.665
1.100	+3.358e+03	+6.218e+03	+9.609e+03	+0.649
1.200	+2.471e+03	+6.816e+03	+1.095e+04	+0.734
1.300	+2.488e+03	+6.254e+03	+1.154e+04	+0.715
1.400	+3.971e+03	+7.464e+03	+1.000e+04	+0.653
1.500	+4.065e+03	+7.520e+03	+9.060e+03	+0.649
1.600	+2.918e+03	+7.116e+03	+1.033e+04	+0.709
1.700	+3.525e+03	+6.068e+03	+9.168e+03	+0.633
1.800	+4.026e+03	+7.575e+03	+8.905e+03	+0.653
1.900	+1.879e+03	+7.766e+03	+9.892e+03	+0.805
2.000	+3.613e+03	+6.662e+03	+9.243e+03	+0.648
2.100	+2.151e+03	+6.556e+03	+8.235e+03	+0.753
2.200	+2.619e+03	+6.174e+03	+1.089e+04	+0.702
2.300	+2.768e+03	+7.322e+03	+9.926e+03	+0.726
2.400	+2.632e+03	+6.280e+03	+1.113e+04	+0.705
2.500	+4.267e+03	+6.424e+03	+1.003e+04	+0.601
2.600	+2.551e+03	+6.503e+03	+1.139e+04	+0.718
2.700	+2.570e+03	+7.414e+03	+9.556e+03	+0.743
2.800	+1.636e+03	+5.920e+03	+8.719e+03	+0.783
2.900	+5.454e+03	+5.018e+03	+9.990e+03	+0.479
3.000	+8.091e+03	+3.826e+03	+9.931e+03	+0.321
3.100	+6.599e+03	+3.938e+03	+9.592e+03	+0.374
3.200	+4.690e+03	+5.784e+03	+9.435e+03	+0.552
