%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+2.692e+03	+6.814e+03	+1.150e+04	+0.717
0.100	+2.575e+03	+6.098e+03	+9.239e+03	+0.703
0.200	+3.643e+03	+7.625e+03	+9.587e+03	+0.677
0.300	+2.405e+03	+8.007e+03	+9.031e+03	+0.769
0.400	+2.282e+03	+7.548e+03	+9.863e+03	+0.768
0.500	+3.242e+03	+7.344e+03	+8.941e+03	+0.694
0.600	+2.267e+03	+6.304e+03	+9.423e+03	+0.735
0.700	+3.863e+03	+7.256e+03	+1.001e+04	+0.653
0.800	+3.317e+03	+7.882e+03	+9.204e+03	+0.704
0.900	+2.438e+03	+7.177e+03	+1.030e+04	+0.746
1.000	+7.706e+03	+2.448e+03	+1.082e+04	+0.241
1.100	+6.932e+03	+3.200e+03	+9.047e+03	+0.316
1.200	+6.716e+03	+3.918e+03	+9.380e+03	+0.368
1.300	+7.537e+03	+2.681e+03	+1.029e+04	+0.262
1.400	+6.865e+03	+1.624e+03	+9.874e+03	+0.191
1.500	+7.260e+03	+2.068e+03	+1.122e+04	+0.222
1.600	+6.223e+03	+3.258e+03	+9.952e+03	+0.344
1.700	+7.801e+03	+4.262e+03	+9.647e+03	+0.353
1.800	+6.665e+03	+4.946e+03	+9.756e+03	+0.426
1.900	+6.757e+03	+2.269e+03	+9.214e+03	+0.251
2.000	+6.987e+03	+2.807e+03	+1.080e+04	+0.287
2.100	+3.489e+03	+8.801e+03	+1.020e+04	+0.716
2.200	+1.867e+03	+7.272e+03	+9.839e+03	+0.796
2.300	+2.837e+03	+8.598e+03	+1.022e+04	+0.752
2.400	+3.232e+03	+7.685e+03	+1.021e+04	+0.704
2.500	+2.883e+03	+8.082e+03	+1.059e+04	+0.737
2.600	+2.498e+03	+7.549e+03	+1.168e+04	+0.751
2.700	+2.930e+03	+7.589e+03	+9.362e+03	+0.721
2.800	+3.953e+03	+7.726e+03	+1.006e+04	+0.662
2.900	+3.403e+03	+7.454e+03	+9.336e+03	+0.687
3.000	+3.548e+03	+7.000e+03	+9.490e+03	+0.664
3.100	+3.746e+03	+7.043e+03	+9.635e+03	+0.653
3.200	+2.569e+03	+6.382e+03	+1.161e+04	+0.713
3.300	+3.296e+03	+6.364e+03	+1.026e+04	+0.659
3.400	+3.393e+03	+6.578e+03	+9.342e+03	+0.660
3.500	+2.279e+03	+6.636e+03	+1.046e+04	+0.744
3.600	+3.713e+03	+7.576e+03	+8.841e+03	+0.671
3.700	+3.046e+03	+6.913e+03	+1.005e+04	+0.694
3.800	+4.677e+03	+7.391e+03	+9.652e+03	+0.612
3.900	+2.390e+03	+7.510e+03	+9.888e+03	+0.759
4.000	+3.519e+03	+7.656e+03	+1.021e+04	+0.685
4.100	+2.912e+03	+7.135e+03	+9.807e+03	+0.710
4.200	+2.604e+03	+7.786e+03	+1.099e+04	+0.749
4.300	+1.585e+03	+6.382e+03	+1.139e+04	+0.801
4.400	+2.285e+03	+6.617e+03	+9.455e+03	+0.743
4.500	+3.330e+03	+8.818e+03	+8.889e+03	+0.726
4.600	+4.717e+03	+3.935e+03	+1.019e+04	+0.455
4.700	+8.456e+03	+2.920e+03	+9.313e+03	+0.257
4.800	+8.171e+03	+2.957e+03	+8.766e+03	+0.266
4.900	+7.405e+03	+3.326e+03	+1.046e+04	+0.310
5.000	+6.167e+03	+3.687e+03	+1.195e+04	+0.374
5.100	+7.093e+03	+2.217e+03	+7.953e+03	+0.238
5.200	+7.615e+03	+3.844e+03	+8.265e+03	+0.335
5.300	+6.725e+03	+2.757e+03	+9.505e+03	+0.291
5.400	+5.570e+03	+4.011e+03	+1.061e+04	+0.419
5.500	+4.006e+03	+7.440e+03	+1.003e+04	+0.650
5.600	+3.353e+03	+6.633e+03	+1.035e+04	+0.664
5.700	+4.500e+03	+7.203e+03	+9.243e+03	+0.615
5.800	+4.545e+03	+6.733e+03	+1.103e+04	+0.597
5.900	+2.450e+03	+7.823e+03	+1.056e+04	+0.761
6.000	+3.985e+03	+7.001e+03	+1.122e+04	+0.637
6.100	+3.277e+03	+7.797e+03	+8.841e+03	+0.704
6.200	+2.578e+03	+6.618e+03	+1.008e+04	+0.720
6.300	+3.024e+03	+6.441e+03	+9.552e+03	+0.680
6.400	+1.627e+03	+6.664e+03	+9.689e+03	+0.804
6.500	+2.716e+03	+7.170e+03	+1.084e+04	+0.725
6.600	+3.944e+03	+5.372e+03	+1.011e+04	+0.577
6.700	+4.273e+03	+5.394e+03	+1.061e+04	+0.558
6.800	+2.734e+03	+6.529e+03	+1.109e+04	+0.705
6.900	+3.345e+03	+7.234e+03	+1.033e+04	+0.684
7.000	+9.542e+02	+7.765e+03	+1.070e+04	+0.891
7.100	+2.773e+03	+7.051e+03	+1.052e+04	+0.718
7.200	+5.461e+03	+4.990e+03	+8.753e+03	+0.477
7.300	+6.058e+03	+3.033e+03	+1.008e+04	+0.334
7.400	+8.390e+03	+1.995e+03	+9.426e+03	+0.192
7.500	+6.412e+03	+2.337e+03	+9.269e+03	+0.267
7.600	+3.931e+03	+6.871e+03	+1.085e+04	+0.636
7.700	+3.567e+03	+7.493e+03	+1.005e+04	+0.677
7.800	+2.506e+03	+7.361e+03	+8.729e+03	+0.746
7.900	+2.988e+03	+6.267e+03	+9.703e+03	+0.677
8.000	+2.236e+03	+5.789e+03	+1.067e+04	+0.721
8.100	+4.608e+03	+6.345e+03	+1.080e+04	+0.579
8.200	+2.318e+03	+7.814e+03	+9.003e+03	+0.771
8.300	+3.118e+03	+7.719e+03	+9.193e+03	+0.712
8.400	+3.067e+03	+9.168e+03	+9.992e+03	+0.749
8.500	+1.958e+03	+6.489e+03	+8.295e+03	+0.768
8.600	+3.365e+03	+6.901e+03	+9.386e+03	+0.672
8.700	+3.968e+03	+6.966e+03	+1.124e+04	+0.637
8.800	+2.835e+03	+6.070e+03	+1.075e+04	+0.682
8.900	+2.012e+03	+7.256e+03	+1.081e+04	+0.783
9.000	+3.661e+03	+5.000e+03	+1.006e+04	+0.577
9.100	+6.835e+03	+2.625e+03	+1.045e+04	+0.277
9.200	+5.703e+03	+3.008e+03	+9.992e+03	+0.345
9.300	+3.590e+03	+7.728e+03	+1.063e+04	+0.683
9.400	+2.189e+03	+6.286e+03	+1.036e+04	+0.742
9.500	+3.586e+03	+7.009e+03	+1.134e+04	+0.662
9.600	+2.237e+03	+7.408e+03	+1.005e+04	+0.768
9.700	+2.486e+03	+6.814e+03	+9.955e+03	+0.733
9.800	+2.166e+03	+7.705e+03	+1.092e+04	+0.781
9.900	+2.000e+03	+6.823e+03	+9.669e+03	+0.773
10.000	+2.793e+03	+6.096e+03	+1.033e+04	+0.686
10.100	+2.982e+03	+6.191e+03	+1.015e+04	+0.675
10.200	+4.079e+03	+6.676e+03	+9.761e+03	+0.621
10.300	+4.045e+03	+6.295e+03	+1.059e+04	+0.609
10.400	+4.014e+03	+7.944e+03	+8.897e+03	+0.664
10.500	+3.897e+03	+4.784e+03	+1.012e+04	+0.551
10.600	+2.831e+03	+7.497e+03	+1.032e+04	+0.726
10.700	+1.810e+03	+7.142e+03	+9.196e+03	+0.798
10.800	+3.614e+03	+6.449e+03	+1.003e+04	+0.641
10.900	+2.669e+03	+6.514e+03	+1.063e+04	+0.709
11.000	+3.041e+03	+6.725e+03	+1.024e+04	+0.689
11.100	+3.038e+03	+6.789e+03	+1.054e+04	+0.691
11.200	+2.027e+03	+5.949e+03	+9.913e+03	+0.746
11.300	+3.767e+03	+6.640e+03	+9.405e+03	+0.638
11.400	+4.245e+03	+7.223e+03	+1.066e+04	+0.630
11.500	+5.051e+03	+8.423e+03	+1.004e+04	+0.625
11.600	+3.083e+03	+5.363e+03	+9.021e+03	+0.635
11.700	+3.603e+03	+7.957e+03	+8.575e+03	+0.688
11.800	+1.995e+03	+7.758e+03	+8.495e+03	+0.795
11.900	+4.494e+03	+6.519e+03	+1.102e+04	+0.592
12.000	+2.997e+03	+6.287e+03	+1.029e+04	+0.677
12.100	+2.160e+03	+5.997e+03	+7.967e+03	+0.735
12.200	+3.668e+03	+7.169e+03	+1.046e+04	+0.661
12.300	+2.682e+03	+5.495e+03	+1.062e+04	+0.672
12.400	+2.428e+03	+6.132e+03	+9.396e+03	+0.716
12.500	+3.406e+03	+6.455e+03	+1.089e+04	+0.655
12.600	+3.171e+03	+6.527e+03	+8.656e+03	+0.673
12.700	+3.838e+03	+6.075e+03	+1.174e+04	+0.613
12.800	+2.632e+03	+8.170e+03	+1.008e+04	+0.756
12.900	+3.424e+03	+7.771e+03	+9.663e+03	+0.694
13.000	+2.971e+03	+7.375e+03	+1.143e+04	+0.713
13.100	+3.308e+03	+6.492e+03	+9.153e+03	+0.662
13.200	+1.953e+03	+7.070e+03	+9.330e+03	+0.784
13.300	+3.702e+03	+7.036e+03	+8.834e+03	+0.655
13.400	+5.640e+03	+4.726e+03	+1.047e+04	+0.456
13.500	+7.932e+03	+2.845e+03	+9.412e+03	+0.264
13.600	+5.400e+03	+4.986e+03	+9.511e+03	+0.480
13.700	+3.672e+03	+6.538e+03	+9.293e+03	+0.640
13.800	+1.894e+03	+7.179e+03	+1.000e+04	+0.791
13.900	+1.677e+03	+7.101e+03	+8.321e+03	+0.809
14.000	+2.138e+03	+6.645e+03	+1.049e+04	+0.757
14.100	+2.415e+03	+7.262e+03	+1.043e+04	+0.750
14.200	+3.142e+02	+8.387e+03	+9.098e+03	+0.964
14.300	+1.889e+03	+7.649e+03	+1.102e+04	+0.802
