%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.741e+03	+8.560e+03	+1.022e+04	+0.696
0.100	+2.892e+03	+7.919e+03	+1.066e+04	+0.732
0.200	+3.518e+03	+7.237e+03	+9.006e+03	+0.673
0.300	+2.075e+03	+7.424e+03	+9.963e+03	+0.782
0.400	+2.427e+03	+7.173e+03	+1.066e+04	+0.747
0.500	+2.377e+03	+7.714e+03	+1.030e+04	+0.764
0.600	+4.457e+03	+5.889e+03	+1.104e+04	+0.569
0.700	+2.888e+03	+7.862e+03	+9.504e+03	+0.731
0.800	+2.636e+03	+5.467e+03	+8.899e+03	+0.675
0.900	+3.524e+03	+7.661e+03	+9.953e+03	+0.685
1.000	+1.888e+03	+7.043e+03	+9.860e+03	+0.789
1.100	+1.870e+03	+6.501e+03	+9.385e+03	+0.777
1.200	+2.659e+03	+7.523e+03	+1.195e+04	+0.739
1.300	+1.870e+03	+6.346e+03	+1.106e+04	+0.772
1.400	+3.230e+03	+7.016e+03	+9.275e+03	+0.685
1.500	+6.220e+03	+3.748e+03	+1.039e+04	+0.376
1.600	+8.142e+03	+2.859e+03	+9.752e+03	+0.260
1.700	+6.644e+03	+3.682e+03	+1.116e+04	+0.357
1.800	+7.689e+03	+2.723e+03	+9.480e+03	+0.262
1.900	+6.041e+03	+3.351e+03	+9.894e+03	+0.357
2.000	+7.176e+03	+2.174e+03	+1.075e+04	+0.233
2.100	+7.665e+03	+3.244e+03	+1.096e+04	+0.297
2.200	+7.344e+03	+3.159e+03	+1.038e+04	+0.301
2.300	+7.694e+03	+1.892e+03	+9.614e+03	+0.197
2.400	+7.878e+03	+3.100e+03	+1.025e+04	+0.282
2.500	+7.725e+03	+3.639e+03	+1.057e+04	+0.320
2.600	+6.481e+03	+4.455e+03	+9.386e+03	+0.407
2.700	+3.220e+03	+5.263e+03	+1.039e+04	+0.620
2.800	+4.478e+03	+5.781e+03	+1.040e+04	+0.563
2.900	+3.641e+03	+6.837e+03	+9.365e+03	+0.653
3.000	+1.978e+03	+5.101e+03	+7.776e+03	+0.721
3.100	+2.477e+03	+7.175e+03	+1.010e+04	+0.743
3.200	+2.165e+03	+6.383e+03	+8.896e+03	+0.747
3.300	+2.326e+03	+6.699e+03	+8.779e+03	+0.742
3.400	+3.163e+03	+6.216e+03	+9.282e+03	+0.663
3.500	+1.911e+03	+5.841e+03	+9.271e+03	+0.754
3.600	+3.310e+03	+6.097e+03	+1.093e+04	+0.648
3.700	+4.048e+03	+6.675e+03	+9.389e+03	+0.622
3.800	+2.133e+03	+5.764e+03	+9.370e+03	+0.730
3.900	+4.193e+03	+7.576e+03	+1.055e+04	+0.644
4.000	+9.485e+02	+7.221e+03	+1.012e+04	+0.884
4.100	+3.428e+03	+6.370e+03	+9.580e+03	+0.650
4.200	+2.689e+03	+8.475e+03	+9.750e+03	+0.759
4.300	+3.688e+03	+7.173e+03	+9.798e+03	+0.660
4.400	+3.320e+03	+5.610e+03	+1.016e+04	+0.628
4.500	+5.843e+02	+7.189e+03	+9.389e+03	+0.925
4.600	+2.375e+03	+7.737e+03	+9.767e+03	+0.765
4.700	+2.604e+03	+7.260e+03	+9.974e+03	+0.736
4.800	+1.745e+03	+6.895e+03	+9.364e+03	+0.798
4.900	+7.338e+03	+2.776e+03	+1.077e+04	+0.274
5.000	+6.293e+03	+3.911e+03	+1.005e+04	+0.383
5.100	+4.405e+03	+6.613e+03	+9.218e+03	+0.600
5.200	+2.448e+03	+7.646e+03	+1.056e+04	+0.757
5.300	+2.588e+03	+7.115e+03	+9.735e+03	+0.733
5.400	+2.969e+03	+5.137e+03	+9.831e+03	+0.634
5.500	+6.854e+03	+1.777e+03	+1.091e+04	+0.206
5.600	+6.502e+03	+1.689e+03	+9.744e+03	+0.206
5.700	+7.948e+03	+3.606e+03	+8.499e+03	+0.312
5.800	+7.526e+03	+2.827e+03	+1.117e+04	+0.273
5.900	+5.248e+03	+3.510e+03	+9.534e+03	+0.401
6.000	+7.865e+03	+2.846e+03	+9.485e+03	+0.266
6.100	+3.437e+03	+5.950e+03	+9.677e+03	+0.634
6.200	+2.408e+03	+7.021e+03	+1.039e+04	+0.745
6.300	+1.744e+03	+6.820e+03	+1.064e+04	+0.796
6.400	+2.339e+03	+7.525e+03	+1.016e+04	+0.763
6.500	+1.943e+03	+6.765e+03	+9.395e+03	+0.777
6.600	+3.832e+03	+5.848e+03	+9.173e+03	+0.604
6.700	+1.423e+03	+7.817e+03	+9.230e+03	+0.846
6.800	+1.660e+03	+6.365e+03	+9.830e+03	+0.793
6.900	+2.841e+03	+6.247e+03	+9.752e+03	+0.687
7.000	+2.387e+03	+7.300e+03	+1.069e+04	+0.754
7.100	+3.826e+03	+7.634e+03	+1.085e+04	+0.666
7.200	+2.868e+03	+7.467e+03	+8.593e+03	+0.722
7.300	+3.073e+03	+5.336e+03	+9.946e+03	+0.635
7.400	+2.243e+03	+7.250e+03	+9.076e+03	+0.764
7.500	+2.304e+03	+6.548e+03	+8.708e+03	+0.740
7.600	+3.427e+03	+8.360e+03	+1.086e+04	+0.709
7.700	+3.743e+03	+6.549e+03	+9.956e+03	+0.636
7.800	+4.091e+03	+7.304e+03	+1.084e+04	+0.641
7.900	+3.738e+03	+7.122e+03	+9.767e+03	+0.656
8.000	+1.308e+03	+7.386e+03	+9.549e+03	+0.850
8.100	+3.775e+03	+7.819e+03	+1.108e+04	+0.674
8.200	+3.238e+03	+8.936e+03	+9.085e+03	+0.734
8.300	+2.355e+03	+6.303e+03	+9.824e+03	+0.728
8.400	+1.752e+03	+6.892e+03	+1.004e+04	+0.797
8.500	+3.189e+03	+4.589e+03	+1.002e+04	+0.590
8.600	+2.038e+03	+5.744e+03	+9.108e+03	+0.738
8.700	+2.740e+03	+6.348e+03	+1.007e+04	+0.699
8.800	+2.111e+03	+6.931e+03	+9.185e+03	+0.767
8.900	+4.107e+03	+7.576e+03	+9.833e+03	+0.648
9.000	+2.830e+03	+8.788e+03	+1.032e+04	+0.756
9.100	+2.329e+03	+7.711e+03	+1.047e+04	+0.768
9.200	+2.139e+03	+6.696e+03	+1.106e+04	+0.758
9.300	+1.896e+03	+7.441e+03	+9.208e+03	+0.797
9.400	+2.866e+03	+5.773e+03	+9.975e+03	+0.668
9.500	+2.131e+03	+6.534e+03	+9.798e+03	+0.754
9.600	+3.228e+03	+7.760e+03	+9.500e+03	+0.706
9.700	+3.395e+03	+5.601e+03	+9.975e+03	+0.623
9.800	+2.812e+03	+6.646e+03	+9.818e+03	+0.703
9.900	+2.461e+03	+6.067e+03	+9.529e+03	+0.711
10.000	+3.250e+03	+7.979e+03	+1.100e+04	+0.711
10.100	+3.638e+03	+8.341e+03	+8.447e+03	+0.696
10.200	+2.538e+03	+7.009e+03	+1.130e+04	+0.734
10.300	+3.495e+03	+8.795e+03	+9.658e+03	+0.716
10.400	+2.836e+03	+6.822e+03	+1.010e+04	+0.706
10.500	+3.250e+03	+7.925e+03	+8.729e+03	+0.709
10.600	+2.361e+03	+7.487e+03	+1.078e+04	+0.760
10.700	+3.146e+03	+8.677e+03	+1.017e+04	+0.734
10.800	+3.376e+03	+5.444e+03	+1.041e+04	+0.617
10.900	+3.109e+03	+8.090e+03	+9.971e+03	+0.722
11.000	+3.047e+03	+6.310e+03	+1.068e+04	+0.674
11.100	+2.710e+03	+7.040e+03	+1.018e+04	+0.722
11.200	+2.253e+03	+6.964e+03	+9.714e+03	+0.756
11.300	+1.708e+03	+6.702e+03	+1.123e+04	+0.797
11.400	+3.486e+03	+6.458e+03	+9.411e+03	+0.649
11.500	+2.023e+03	+5.859e+03	+1.061e+04	+0.743
11.600	+9.105e+02	+6.663e+03	+8.325e+03	+0.880
11.700	+3.795e+03	+5.625e+03	+1.023e+04	+0.597
