%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+2.314e+03	+7.871e+03	+1.060e+04	+0.773
0.100	+2.195e+03	+6.636e+03	+9.328e+03	+0.751
0.200	+2.218e+03	+7.145e+03	+1.071e+04	+0.763
0.300	+3.488e+03	+5.066e+03	+9.579e+03	+0.592
0.400	+6.438e+03	+4.010e+03	+9.895e+03	+0.384
0.500	+2.831e+03	+7.001e+03	+9.689e+03	+0.712
0.600	+2.024e+03	+7.979e+03	+1.071e+04	+0.798
0.700	+2.738e+03	+7.032e+03	+1.102e+04	+0.720
0.800	+3.001e+03	+6.220e+03	+1.079e+04	+0.675
0.900	+3.103e+03	+7.464e+03	+1.010e+04	+0.706
1.000	+2.248e+03	+6.816e+03	+1.003e+04	+0.752
1.100	+3.127e+03	+7.375e+03	+1.103e+04	+0.702
1.200	+4.120e+03	+7.194e+03	+9.023e+03	+0.636
1.300	+1.838e+03	+6.096e+03	+1.050e+04	+0.768
1.400	+2.172e+03	+7.209e+03	+9.829e+03	+0.769
1.500	+3.935e+03	+8.163e+03	+9.548e+03	+0.675
1.600	+3.705e+03	+7.414e+03	+9.965e+03	+0.667
1.700	+2.546e+03	+7.214e+03	+8.725e+03	+0.739
1.800	+4.175e+03	+8.164e+03	+1.026e+04	+0.662
1.900	+2.816e+03	+7.530e+03	+1.084e+04	+0.728
2.000	+2.629e+03	+8.464e+03	+9.996e+03	+0.763
2.100	+3.877e+03	+7.039e+03	+1.094e+04	+0.645
2.200	+6.210e+03	+3.807e+03	+1.070e+04	+0.380
2.300	+8.640e+03	+4.036e+03	+1.153e+04	+0.318
2.400	+6.152e+03	+3.678e+03	+9.758e+03	+0.374
2.500	+7.458e+03	+1.411e+03	+1.029e+04	+0.159
2.600	+5.874e+03	+2.339e+03	+1.017e+04	+0.285
2.700	+7.106e+03	+3.451e+03	+9.879e+03	+0.327
2.800	+6.185e+03	+3.399e+03	+1.100e+04	+0.355
2.900	+6.472e+03	+3.220e+03	+1.024e+04	+0.332
3.000	+4.667e+03	+6.188e+03	+9.158e+03	+0.570
3.100	+3.299e+03	+6.679e+03	+9.773e+03	+0.669
3.200	+2.893e+03	+7.959e+03	+1.040e+04	+0.733
3.300	+2.328e+03	+5.729e+03	+9.575e+03	+0.711
3.400	+3.008e+03	+7.823e+03	+9.784e+03	+0.722
3.500	+3.347e+03	+6.954e+03	+8.687e+03	+0.675
3.600	+2.939e+03	+7.541e+03	+9.523e+03	+0.720
3.700	+3.132e+03	+5.514e+03	+9.675e+03	+0.638
3.800	+3.476e+03	+6.810e+03	+1.050e+04	+0.662
3.900	+4.359e+03	+7.820e+03	+9.675e+03	+0.642
4.000	+1.927e+03	+7.195e+03	+9.460e+03	+0.789
4.100	+3.970e+03	+9.508e+03	+9.566e+03	+0.705
4.200	+2.737e+03	+7.622e+03	+1.089e+04	+0.736
4.300	+2.685e+03	+5.653e+03	+1.102e+04	+0.678
4.400	+3.873e+03	+7.858e+03	+1.115e+04	+0.670
4.500	+3.251e+03	+7.344e+03	+9.606e+03	+0.693
4.600	+3.053e+03	+5.981e+03	+9.970e+03	+0.662
4.700	+2.232e+03	+6.763e+03	+9.986e+03	+0.752
4.800	+2.589e+03	+7.218e+03	+9.872e+03	+0.736
4.900	+3.797e+03	+6.544e+03	+9.583e+03	+0.633
5.000	+3.473e+03	+7.132e+03	+1.016e+04	+0.672
5.100	+1.944e+03	+7.260e+03	+9.889e+03	+0.789
5.200	+3.185e+03	+6.663e+03	+9.388e+03	+0.677
5.300	+3.173e+03	+5.806e+03	+9.880e+03	+0.647
5.400	+4.504e+03	+6.080e+03	+9.572e+03	+0.574
5.500	+3.863e+03	+6.616e+03	+1.095e+04	+0.631
5.600	+4.073e+03	+6.675e+03	+9.046e+03	+0.621
5.700	+2.199e+03	+5.875e+03	+9.524e+03	+0.728
5.800	+2.609e+03	+7.320e+03	+9.590e+03	+0.737
5.900	+3.036e+03	+7.766e+03	+1.034e+04	+0.719
6.000	+6.442e+03	+2.671e+03	+9.020e+03	+0.293
6.100	+6.930e+03	+3.423e+03	+9.398e+03	+0.331
6.200	+7.750e+03	+2.602e+03	+1.124e+04	+0.251
6.300	+5.977e+03	+3.181e+03	+1.098e+04	+0.347
6.400	+6.861e+03	+3.703e+03	+8.882e+03	+0.351
6.500	+7.028e+03	+1.992e+03	+1.132e+04	+0.221
6.600	+7.077e+03	+2.452e+03	+1.104e+04	+0.257
6.700	+7.105e+03	+3.319e+03	+9.292e+03	+0.318
6.800	+7.021e+03	+3.293e+03	+9.608e+03	+0.319
6.900	+6.699e+03	+3.402e+03	+9.505e+03	+0.337
7.000	+5.850e+03	+2.548e+03	+9.504e+03	+0.303
7.100	+2.948e+03	+8.063e+03	+1.107e+04	+0.732
7.200	+4.729e+03	+7.262e+03	+1.210e+04	+0.606
7.300	+3.147e+03	+6.850e+03	+1.119e+04	+0.685
7.400	+1.106e+03	+6.525e+03	+1.114e+04	+0.855
7.500	+2.657e+03	+8.292e+03	+1.079e+04	+0.757
7.600	+3.578e+03	+7.073e+03	+9.491e+03	+0.664
7.700	+2.476e+03	+6.364e+03	+9.315e+03	+0.720
7.800	+2.020e+03	+8.057e+03	+1.128e+04	+0.800
7.900	+4.041e+03	+6.308e+03	+8.101e+03	+0.610
8.000	+3.109e+03	+8.095e+03	+1.027e+04	+0.723
8.100	+3.375e+03	+6.226e+03	+9.345e+03	+0.648
8.200	+2.216e+03	+6.869e+03	+9.935e+03	+0.756
8.300	+2.411e+03	+6.490e+03	+9.221e+03	+0.729
8.400	+2.615e+03	+7.543e+03	+9.416e+03	+0.743
8.500	+3.238e+03	+7.350e+03	+9.367e+03	+0.694
8.600	+7.240e+03	+3.144e+03	+9.780e+03	+0.303
8.700	+6.525e+03	+2.762e+03	+9.015e+03	+0.297
8.800	+6.998e+03	+3.844e+03	+1.013e+04	+0.355
8.900	+3.338e+03	+6.052e+03	+9.952e+03	+0.645
9.000	+1.569e+03	+7.519e+03	+1.097e+04	+0.827
9.100	+1.925e+03	+7.323e+03	+9.747e+03	+0.792
9.200	+2.127e+03	+6.913e+03	+1.154e+04	+0.765
9.300	+1.664e+03	+7.981e+03	+9.991e+03	+0.827
9.400	+4.053e+03	+6.734e+03	+1.093e+04	+0.624
9.500	+2.870e+03	+6.646e+03	+1.087e+04	+0.698
9.600	+3.176e+03	+7.979e+03	+1.038e+04	+0.715
9.700	+2.990e+03	+6.584e+03	+1.147e+04	+0.688
9.800	+2.908e+03	+7.586e+03	+8.991e+03	+0.723
9.900	+2.001e+03	+6.617e+03	+1.012e+04	+0.768
10.000	+2.697e+03	+6.752e+03	+9.438e+03	+0.715
