%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+9.122e+03	+2.895e+03	+9.452e+03	+0.241
0.100	+7.401e+03	+2.670e+03	+1.042e+04	+0.265
0.200	+6.175e+03	+3.756e+03	+1.149e+04	+0.378
0.300	+6.727e+03	+2.724e+03	+1.080e+04	+0.288
0.400	+7.477e+03	+3.778e+03	+1.042e+04	+0.336
0.500	+6.896e+03	+5.395e+03	+9.586e+03	+0.439
0.600	+5.950e+03	+2.780e+03	+1.039e+04	+0.318
0.700	+6.560e+03	+2.957e+03	+1.080e+04	+0.311
0.800	+8.332e+03	+2.777e+03	+9.231e+03	+0.250
0.900	+8.899e+03	+3.182e+03	+9.773e+03	+0.263
1.000	+7.320e+03	+4.541e+03	+9.056e+03	+0.383
1.100	+7.605e+03	+2.412e+03	+9.010e+03	+0.241
1.200	+6.909e+03	+2.665e+03	+9.894e+03	+0.278
1.300	+6.593e+03	+3.749e+03	+9.679e+03	+0.363
1.400	+6.095e+03	+3.397e+03	+9.196e+03	+0.358
1.500	+6.834e+03	+3.233e+03	+9.749e+03	+0.321
1.600	+6.245e+03	+3.634e+03	+1.018e+04	+0.368
1.700	+4.248e+03	+5.154e+03	+1.028e+04	+0.548
1.800	+3.699e+03	+8.187e+03	+8.938e+03	+0.689
1.900	+2.631e+03	+7.518e+03	+9.516e+03	+0.741
2.000	+3.872e+03	+6.709e+03	+9.828e+03	+0.634
2.100	+3.201e+03	+6.220e+03	+1.052e+04	+0.660
2.200	+2.355e+03	+7.147e+03	+9.312e+03	+0.752
2.300	+2.306e+03	+8.825e+03	+8.392e+03	+0.793
2.400	+1.869e+03	+5.810e+03	+1.093e+04	+0.757
2.500	+3.129e+03	+7.303e+03	+9.807e+03	+0.700
2.600	+2.320e+03	+6.176e+03	+1.000e+04	+0.727
2.700	+2.638e+03	+7.098e+03	+1.117e+04	+0.729
2.800	+4.110e+03	+6.798e+03	+9.939e+03	+0.623
2.900	+1.885e+03	+8.831e+03	+1.060e+04	+0.824
3.000	+1.649e+03	+7.925e+03	+1.125e+04	+0.828
3.100	+3.243e+03	+6.856e+03	+9.296e+03	+0.679
3.200	+4.011e+03	+8.064e+03	+1.036e+04	+0.668
3.300	+3.480e+03	+5.992e+03	+1.033e+04	+0.633
3.400	+1.873e+03	+7.213e+03	+1.014e+04	+0.794
3.500	+2.873e+03	+6.406e+03	+1.078e+04	+0.690
3.600	+3.201e+03	+8.015e+03	+1.090e+04	+0.715
3.700	+3.654e+03	+7.949e+03	+1.080e+04	+0.685
3.800	+2.255e+03	+6.927e+03	+1.020e+04	+0.754
3.900	+2.619e+03	+7.288e+03	+9.619e+03	+0.736
4.000	+2.414e+03	+6.581e+03	+1.011e+04	+0.732
4.100	+3.277e+03	+6.074e+03	+9.942e+03	+0.650
4.200	+2.745e+03	+7.263e+03	+1.050e+04	+0.726
4.300	+2.398e+03	+6.500e+03	+1.040e+04	+0.731
4.400	+2.914e+03	+6.507e+03	+9.838e+03	+0.691
4.500	+3.771e+03	+5.724e+03	+9.810e+03	+0.603
4.600	+2.375e+03	+6.284e+03	+1.132e+04	+0.726
4.700	+4.704e+03	+6.190e+03	+9.319e+03	+0.568
4.800	+2.186e+03	+5.444e+03	+1.103e+04	+0.714
4.900	+1.608e+03	+7.790e+03	+1.066e+04	+0.829
5.000	+3.590e+03	+6.441e+03	+8.894e+03	+0.642
5.100	+2.093e+03	+6.845e+03	+1.045e+04	+0.766
5.200	+3.097e+03	+5.642e+03	+9.741e+03	+0.646
5.300	+1.400e+03	+6.366e+03	+1.001e+04	+0.820
5.400	+3.243e+03	+7.572e+03	+9.555e+03	+0.700
5.500	+3.596e+03	+8.842e+03	+7.927e+03	+0.711
5.600	+2.542e+03	+7.287e+03	+1.011e+04	+0.741
5.700	+3.343e+03	+7.070e+03	+1.057e+04	+0.679
5.800	+2.561e+03	+6.096e+03	+9.957e+03	+0.704
5.900	+4.371e+03	+6.830e+03	+9.307e+03	+0.610
6.000	+4.049e+03	+7.034e+03	+9.099e+03	+0.635
6.100	+3.141e+03	+7.495e+03	+9.496e+03	+0.705
6.200	+3.390e+03	+6.499e+03	+1.114e+04	+0.657
6.300	+3.589e+03	+7.188e+03	+8.357e+03	+0.667
6.400	+2.763e+03	+6.328e+03	+9.878e+03	+0.696
6.500	+4.369e+03	+4.456e+03	+9.992e+03	+0.505
6.600	+6.728e+03	+3.592e+03	+9.021e+03	+0.348
6.700	+6.110e+03	+3.738e+03	+1.028e+04	+0.380
6.800	+6.396e+03	+4.008e+03	+1.023e+04	+0.385
6.900	+7.670e+03	+2.141e+03	+9.169e+03	+0.218
7.000	+7.394e+03	+3.209e+03	+9.105e+03	+0.303
7.100	+6.651e+03	+3.614e+03	+1.012e+04	+0.352
7.200	+7.730e+03	+3.070e+03	+9.433e+03	+0.284
7.300	+6.694e+03	+3.388e+03	+1.010e+04	+0.336
7.400	+6.899e+03	+3.313e+03	+1.104e+04	+0.324
7.500	+6.739e+03	+2.401e+03	+9.467e+03	+0.263
