%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.583e+03	+2.045e+03	+1.036e+04	+0.237
0.100	+6.863e+03	+2.794e+03	+1.009e+04	+0.289
0.200	+7.995e+03	+3.035e+03	+9.919e+03	+0.275
0.300	+5.391e+03	+4.121e+03	+1.064e+04	+0.433
0.400	+1.507e+03	+6.844e+03	+1.033e+04	+0.820
0.500	+2.489e+03	+7.568e+03	+1.107e+04	+0.753
0.600	+3.784e+03	+4.829e+03	+9.763e+03	+0.561
0.700	+7.383e+03	+3.415e+03	+1.031e+04	+0.316
0.800	+6.416e+03	+3.049e+03	+8.991e+03	+0.322
0.900	+5.102e+03	+1.635e+03	+9.462e+03	+0.243
1.000	+5.394e+03	+3.942e+03	+1.067e+04	+0.422
1.100	+7.562e+03	+3.793e+03	+1.021e+04	+0.334
1.200	+6.951e+03	+2.353e+03	+1.045e+04	+0.253
1.300	+7.323e+03	+3.826e+03	+9.184e+03	+0.343
1.400	+5.731e+03	+3.327e+03	+1.023e+04	+0.367
1.500	+7.488e+03	+3.019e+03	+1.027e+04	+0.287
1.600	+7.854e+03	+3.077e+03	+9.428e+03	+0.281
1.700	+7.237e+03	+3.103e+03	+1.031e+04	+0.300
1.800	+8.066e+03	+2.664e+03	+1.044e+04	+0.248
1.900	+8.239e+03	+2.826e+03	+1.046e+04	+0.255
2.000	+7.444e+03	+3.885e+03	+9.474e+03	+0.343
2.100	+7.611e+03	+1.844e+03	+1.000e+04	+0.195
2.200	+5.369e+03	+4.739e+03	+9.929e+03	+0.469
2.300	+3.526e+03	+7.065e+03	+1.087e+04	+0.667
2.400	+2.827e+03	+6.761e+03	+1.064e+04	+0.705
2.500	+4.356e+03	+6.233e+03	+9.499e+03	+0.589
2.600	+7.571e+03	+2.796e+03	+9.655e+03	+0.270
2.700	+6.326e+03	+3.235e+03	+1.027e+04	+0.338
2.800	+6.411e+03	+3.088e+03	+1.107e+04	+0.325
2.900	+6.083e+03	+4.164e+03	+1.070e+04	+0.406
3.000	+7.455e+03	+3.534e+03	+1.124e+04	+0.322
3.100	+7.424e+03	+2.984e+03	+9.540e+03	+0.287
3.200	+7.406e+03	+2.845e+03	+1.076e+04	+0.278
3.300	+5.139e+03	+3.710e+03	+9.665e+03	+0.419
