%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.857e+03	+8.744e+03	+1.075e+04	+0.694
0.100	+6.279e+03	+2.323e+03	+1.018e+04	+0.270
0.200	+6.595e+03	+3.210e+03	+1.013e+04	+0.327
0.300	+6.463e+03	+4.168e+03	+1.098e+04	+0.392
0.400	+8.737e+03	+4.303e+03	+1.052e+04	+0.330
0.500	+7.170e+03	+2.350e+03	+9.822e+03	+0.247
0.600	+7.609e+03	+2.927e+03	+1.124e+04	+0.278
0.700	+6.306e+03	+3.113e+03	+1.115e+04	+0.330
0.800	+8.139e+03	+4.572e+03	+9.296e+03	+0.360
0.900	+6.038e+03	+3.101e+03	+1.029e+04	+0.339
1.000	+8.076e+03	+3.514e+03	+1.056e+04	+0.303
1.100	+6.549e+03	+3.087e+03	+9.856e+03	+0.320
1.200	+7.483e+03	+2.724e+03	+8.459e+03	+0.267
1.300	+5.674e+03	+4.186e+03	+1.025e+04	+0.425
1.400	+5.692e+03	+6.382e+03	+1.002e+04	+0.529
1.500	+3.400e+03	+7.874e+03	+9.105e+03	+0.698
1.600	+4.309e+03	+7.098e+03	+9.401e+03	+0.622
1.700	+2.785e+03	+7.077e+03	+1.090e+04	+0.718
1.800	+2.842e+03	+7.906e+03	+9.920e+03	+0.736
1.900	+4.273e+03	+7.517e+03	+1.037e+04	+0.638
2.000	+5.649e+03	+3.756e+03	+9.342e+03	+0.399
2.100	+6.952e+03	+3.735e+03	+1.046e+04	+0.349
2.200	+7.256e+03	+1.813e+03	+1.094e+04	+0.200
2.300	+5.859e+03	+3.119e+03	+9.676e+03	+0.347
2.400	+6.560e+03	+3.466e+03	+9.104e+03	+0.346
2.500	+7.254e+03	+3.555e+03	+9.219e+03	+0.329
2.600	+6.711e+03	+2.445e+03	+9.379e+03	+0.267
2.700	+7.053e+03	+3.190e+03	+1.021e+04	+0.311
2.800	+8.223e+03	+3.959e+03	+1.111e+04	+0.325
2.900	+5.114e+03	+4.039e+03	+1.047e+04	+0.441
3.000	+4.462e+03	+7.044e+03	+1.045e+04	+0.612
3.100	+3.363e+03	+6.579e+03	+1.026e+04	+0.662
3.200	+3.248e+03	+7.128e+03	+8.819e+03	+0.687
3.300	+3.398e+03	+8.260e+03	+1.072e+04	+0.709
3.400	+3.701e+03	+9.253e+03	+1.035e+04	+0.714
3.500	+2.485e+03	+5.792e+03	+9.013e+03	+0.700
3.600	+4.357e+03	+6.823e+03	+1.000e+04	+0.610
3.700	+5.583e+03	+5.904e+03	+1.050e+04	+0.514
3.800	+8.400e+03	+2.595e+03	+1.138e+04	+0.236
3.900	+8.453e+03	+2.961e+03	+9.640e+03	+0.259
4.000	+5.747e+03	+2.346e+03	+1.037e+04	+0.290
4.100	+8.182e+03	+1.941e+03	+9.627e+03	+0.192
4.200	+6.200e+03	+2.256e+03	+1.080e+04	+0.267
4.300	+6.219e+03	+2.161e+03	+9.145e+03	+0.258
4.400	+6.222e+03	+4.268e+03	+1.003e+04	+0.407
4.500	+3.879e+03	+7.115e+03	+1.090e+04	+0.647
4.600	+3.138e+03	+5.338e+03	+9.984e+03	+0.630
4.700	+4.608e+03	+7.146e+03	+9.912e+03	+0.608
4.800	+3.444e+03	+7.027e+03	+9.936e+03	+0.671
4.900	+1.659e+03	+7.309e+03	+9.350e+03	+0.815
5.000	+2.941e+03	+7.079e+03	+9.586e+03	+0.706
5.100	+2.616e+03	+7.184e+03	+1.037e+04	+0.733
