%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.650e+03	+4.463e+03	+9.985e+03	+0.441
0.100	+7.185e+03	+2.474e+03	+1.023e+04	+0.256
0.200	+6.720e+03	+4.660e+03	+8.917e+03	+0.410
0.300	+2.635e+03	+6.412e+03	+9.373e+03	+0.709
0.400	+3.549e+03	+6.244e+03	+8.003e+03	+0.638
0.500	+3.466e+03	+6.977e+03	+9.599e+03	+0.668
0.600	+3.557e+03	+6.683e+03	+1.068e+04	+0.653
0.700	+3.680e+03	+8.496e+03	+1.047e+04	+0.698
0.800	+1.963e+03	+6.465e+03	+1.047e+04	+0.767
0.900	+2.968e+03	+6.720e+03	+9.989e+03	+0.694
1.000	+2.466e+03	+6.470e+03	+1.034e+04	+0.724
1.100	+3.555e+03	+5.694e+03	+1.008e+04	+0.616
1.200	+3.383e+03	+7.573e+03	+1.030e+04	+0.691
1.300	+3.976e+03	+6.958e+03	+1.027e+04	+0.636
1.400	+3.360e+03	+8.391e+03	+8.934e+03	+0.714
1.500	+2.620e+03	+7.055e+03	+9.907e+03	+0.729
1.600	+2.419e+03	+6.933e+03	+9.742e+03	+0.741
1.700	+4.570e+03	+6.796e+03	+1.123e+04	+0.598
1.800	+3.538e+03	+7.611e+03	+7.629e+03	+0.683
1.900	+1.923e+03	+7.800e+03	+9.995e+03	+0.802
2.000	+2.519e+03	+8.391e+03	+9.776e+03	+0.769
2.100	+4.161e+03	+5.175e+03	+9.877e+03	+0.554
2.200	+7.691e+03	+1.494e+03	+9.456e+03	+0.163
2.300	+4.882e+03	+2.458e+03	+1.019e+04	+0.335
2.400	+6.678e+03	+3.291e+03	+1.176e+04	+0.330
2.500	+6.477e+03	+1.987e+03	+9.904e+03	+0.235
2.600	+4.859e+03	+3.212e+03	+9.467e+03	+0.398
2.700	+2.833e+03	+7.085e+03	+1.012e+04	+0.714
2.800	+1.772e+03	+7.914e+03	+9.845e+03	+0.817
2.900	+4.497e+03	+6.289e+03	+9.943e+03	+0.583
3.000	+8.183e+03	+3.242e+03	+9.731e+03	+0.284
3.100	+6.653e+03	+3.785e+03	+1.017e+04	+0.363
3.200	+5.650e+03	+2.392e+03	+1.025e+04	+0.297
3.300	+5.955e+03	+2.121e+03	+9.241e+03	+0.263
3.400	+7.470e+03	+2.590e+03	+9.274e+03	+0.257
3.500	+7.140e+03	+2.304e+03	+8.840e+03	+0.244
3.600	+8.195e+03	+3.508e+03	+1.159e+04	+0.300
3.700	+6.526e+03	+2.998e+03	+9.915e+03	+0.315
3.800	+6.168e+03	+4.432e+03	+1.044e+04	+0.418
3.900	+7.469e+03	+3.623e+03	+1.125e+04	+0.327
4.000	+7.944e+03	+3.201e+03	+9.214e+03	+0.287
4.100	+7.131e+03	+2.958e+03	+9.964e+03	+0.293
4.200	+7.312e+03	+2.937e+03	+9.124e+03	+0.287
4.300	+7.286e+03	+4.427e+03	+9.217e+03	+0.378
4.400	+4.268e+03	+5.223e+03	+1.073e+04	+0.550
4.500	+6.280e+03	+3.588e+03	+9.198e+03	+0.364
4.600	+6.749e+03	+3.967e+03	+8.827e+03	+0.370
4.700	+6.777e+03	+1.954e+03	+8.260e+03	+0.224
4.800	+7.467e+03	+3.954e+03	+8.805e+03	+0.346
4.900	+6.049e+03	+4.235e+03	+1.029e+04	+0.412
5.000	+7.181e+03	+1.572e+03	+1.109e+04	+0.180
5.100	+5.471e+03	+2.917e+03	+9.833e+03	+0.348
5.200	+7.573e+03	+3.956e+03	+1.071e+04	+0.343
5.300	+6.085e+03	+2.937e+03	+1.042e+04	+0.326
5.400	+7.581e+03	+2.356e+03	+1.147e+04	+0.237
5.500	+7.187e+03	+3.085e+03	+1.000e+04	+0.300
5.600	+7.509e+03	+3.863e+03	+8.531e+03	+0.340
5.700	+5.911e+03	+3.457e+03	+1.095e+04	+0.369
5.800	+6.525e+03	+4.701e+03	+1.038e+04	+0.419
5.900	+7.407e+03	+2.472e+03	+9.328e+03	+0.250
6.000	+6.809e+03	+2.201e+03	+9.689e+03	+0.244
6.100	+6.626e+03	+1.909e+03	+1.022e+04	+0.224
6.200	+7.604e+03	+3.111e+03	+1.068e+04	+0.290
6.300	+8.269e+03	+2.867e+03	+1.017e+04	+0.257
6.400	+6.911e+03	+3.359e+03	+1.028e+04	+0.327
6.500	+6.652e+03	+2.575e+03	+1.073e+04	+0.279
6.600	+4.889e+03	+3.680e+03	+9.688e+03	+0.429
6.700	+2.688e+03	+6.596e+03	+9.029e+03	+0.710
6.800	+1.649e+03	+6.127e+03	+1.028e+04	+0.788
6.900	+3.148e+03	+7.449e+03	+1.144e+04	+0.703
7.000	+2.938e+03	+7.779e+03	+9.451e+03	+0.726
7.100	+4.580e+03	+6.745e+03	+9.442e+03	+0.596
7.200	+2.575e+03	+6.387e+03	+1.007e+04	+0.713
7.300	+3.624e+03	+6.776e+03	+1.078e+04	+0.652
7.400	+2.322e+03	+7.314e+03	+9.647e+03	+0.759
7.500	+5.243e+03	+5.868e+03	+1.029e+04	+0.528
7.600	+3.317e+03	+6.339e+03	+9.980e+03	+0.657
7.700	+2.847e+03	+7.078e+03	+1.045e+04	+0.713
7.800	+2.209e+03	+7.494e+03	+8.277e+03	+0.772
7.900	+3.287e+03	+6.689e+03	+9.950e+03	+0.671
8.000	+2.024e+03	+6.247e+03	+8.592e+03	+0.755
8.100	+1.634e+03	+7.215e+03	+9.482e+03	+0.815
8.200	+4.778e+03	+3.470e+03	+1.031e+04	+0.421
8.300	+6.636e+03	+3.406e+03	+1.068e+04	+0.339
8.400	+6.867e+03	+2.497e+03	+9.730e+03	+0.267
8.500	+6.679e+03	+3.356e+03	+9.497e+03	+0.334
8.600	+7.899e+03	+4.457e+03	+1.094e+04	+0.361
8.700	+6.836e+03	+2.527e+03	+1.008e+04	+0.270
8.800	+2.030e+03	+7.655e+03	+9.519e+03	+0.790
8.900	+3.597e+03	+8.268e+03	+8.618e+03	+0.697
9.000	+4.033e+03	+9.122e+03	+9.526e+03	+0.693
9.100	+3.428e+03	+8.148e+03	+1.111e+04	+0.704
9.200	+1.581e+03	+6.404e+03	+1.224e+04	+0.802
9.300	+5.111e+03	+3.417e+03	+1.015e+04	+0.401
9.400	+6.407e+03	+4.483e+03	+1.024e+04	+0.412
9.500	+6.070e+03	+3.400e+03	+1.043e+04	+0.359
9.600	+7.423e+03	+1.819e+03	+9.771e+03	+0.197
9.700	+6.884e+03	+4.178e+03	+1.093e+04	+0.378
9.800	+6.403e+03	+2.289e+03	+1.054e+04	+0.263
9.900	+6.934e+03	+2.790e+03	+1.065e+04	+0.287
10.000	+6.534e+03	+3.185e+03	+9.380e+03	+0.328
10.100	+5.745e+03	+3.502e+03	+1.054e+04	+0.379
10.200	+2.735e+03	+6.745e+03	+1.040e+04	+0.712
10.300	+1.502e+03	+6.882e+03	+9.940e+03	+0.821
10.400	+4.084e+03	+6.360e+03	+1.132e+04	+0.609
10.500	+3.314e+03	+7.474e+03	+1.041e+04	+0.693
10.600	+1.852e+03	+8.799e+03	+1.121e+04	+0.826
10.700	+3.480e+03	+8.004e+03	+1.031e+04	+0.697
10.800	+3.402e+03	+7.474e+03	+9.598e+03	+0.687
10.900	+6.632e+03	+3.957e+03	+1.001e+04	+0.374
11.000	+7.937e+03	+3.295e+03	+1.032e+04	+0.293
11.100	+5.529e+03	+3.689e+03	+9.053e+03	+0.400
11.200	+6.699e+03	+4.007e+03	+1.106e+04	+0.374
11.300	+7.046e+03	+2.980e+03	+1.080e+04	+0.297
11.400	+6.879e+03	+3.822e+03	+1.011e+04	+0.357
11.500	+8.365e+03	+3.915e+03	+9.618e+03	+0.319
11.600	+7.883e+03	+1.904e+03	+1.078e+04	+0.195
11.700	+6.391e+03	+1.933e+03	+1.057e+04	+0.232
11.800	+6.943e+03	+2.984e+03	+9.654e+03	+0.301
11.900	+3.507e+03	+4.946e+03	+1.017e+04	+0.585
12.000	+2.838e+03	+7.047e+03	+9.681e+03	+0.713
12.100	+2.361e+03	+7.122e+03	+8.731e+03	+0.751
12.200	+5.778e+03	+4.406e+03	+9.825e+03	+0.433
12.300	+3.451e+03	+7.700e+03	+1.034e+04	+0.691
12.400	+4.403e+03	+7.236e+03	+8.868e+03	+0.622
