%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.579e+03	+5.629e+03	+9.829e+03	+0.551
0.100	+3.155e+03	+6.851e+03	+1.021e+04	+0.685
0.200	+2.700e+03	+7.779e+03	+1.062e+04	+0.742
0.300	+3.814e+03	+7.769e+03	+9.077e+03	+0.671
0.400	+2.779e+03	+7.858e+03	+9.958e+03	+0.739
0.500	+2.246e+03	+6.684e+03	+1.040e+04	+0.749
0.600	+2.367e+03	+7.845e+03	+8.802e+03	+0.768
0.700	+5.829e+03	+4.186e+03	+9.957e+03	+0.418
0.800	+6.666e+03	+3.021e+03	+9.031e+03	+0.312
0.900	+6.653e+03	+4.393e+03	+9.855e+03	+0.398
1.000	+7.036e+03	+2.126e+03	+9.843e+03	+0.232
1.100	+6.689e+03	+2.498e+03	+1.064e+04	+0.272
1.200	+7.826e+03	+3.039e+03	+1.015e+04	+0.280
1.300	+5.947e+03	+3.860e+03	+1.035e+04	+0.394
1.400	+3.922e+03	+5.538e+03	+1.077e+04	+0.585
1.500	+3.684e+03	+5.847e+03	+9.139e+03	+0.613
1.600	+1.783e+03	+7.069e+03	+9.699e+03	+0.799
1.700	+3.186e+03	+7.017e+03	+1.050e+04	+0.688
1.800	+3.192e+03	+6.537e+03	+1.124e+04	+0.672
1.900	+4.805e+03	+7.028e+03	+9.153e+03	+0.594
2.000	+2.548e+03	+7.129e+03	+1.161e+04	+0.737
2.100	+2.056e+03	+7.348e+03	+1.042e+04	+0.781
2.200	+2.634e+03	+5.974e+03	+1.020e+04	+0.694
2.300	+3.754e+03	+6.789e+03	+1.138e+04	+0.644
2.400	+4.522e+03	+7.197e+03	+9.808e+03	+0.614
2.500	+5.345e+03	+5.498e+03	+1.023e+04	+0.507
2.600	+5.205e+03	+5.189e+03	+9.890e+03	+0.499
2.700	+3.570e+03	+8.382e+03	+1.046e+04	+0.701
2.800	+2.723e+03	+5.844e+03	+1.073e+04	+0.682
2.900	+2.483e+03	+6.534e+03	+1.087e+04	+0.725
3.000	+2.395e+03	+7.284e+03	+1.021e+04	+0.753
3.100	+3.281e+03	+7.868e+03	+8.541e+03	+0.706
3.200	+2.157e+03	+7.014e+03	+1.093e+04	+0.765
3.300	+3.001e+03	+5.674e+03	+1.120e+04	+0.654
3.400	+3.258e+03	+7.116e+03	+1.070e+04	+0.686
3.500	+3.818e+03	+6.569e+03	+8.264e+03	+0.632
3.600	+3.236e+03	+7.156e+03	+1.061e+04	+0.689
3.700	+2.676e+03	+7.957e+03	+9.751e+03	+0.748
3.800	+3.227e+03	+5.627e+03	+1.041e+04	+0.636
3.900	+1.975e+03	+7.335e+03	+9.696e+03	+0.788
4.000	+2.351e+03	+5.597e+03	+1.012e+04	+0.704
4.100	+2.319e+03	+7.348e+03	+9.141e+03	+0.760
4.200	+1.851e+03	+7.474e+03	+1.074e+04	+0.801
4.300	+4.243e+03	+7.227e+03	+1.093e+04	+0.630
4.400	+4.378e+03	+6.436e+03	+1.014e+04	+0.595
4.500	+3.684e+03	+7.781e+03	+9.797e+03	+0.679
4.600	+2.021e+03	+7.342e+03	+1.018e+04	+0.784
4.700	+3.102e+03	+7.161e+03	+9.232e+03	+0.698
4.800	+3.325e+03	+5.904e+03	+1.031e+04	+0.640
4.900	+4.319e+03	+6.249e+03	+1.036e+04	+0.591
5.000	+8.544e+03	+2.670e+03	+9.769e+03	+0.238
5.100	+6.478e+03	+1.914e+03	+1.002e+04	+0.228
5.200	+7.030e+03	+4.364e+03	+1.076e+04	+0.383
5.300	+6.806e+03	+2.363e+03	+9.382e+03	+0.258
5.400	+8.160e+03	+3.331e+03	+9.270e+03	+0.290
5.500	+7.280e+03	+1.774e+03	+1.017e+04	+0.196
5.600	+6.546e+03	+3.258e+03	+9.543e+03	+0.332
5.700	+6.553e+03	+3.214e+03	+9.029e+03	+0.329
5.800	+7.688e+03	+2.570e+03	+9.518e+03	+0.251
5.900	+7.536e+03	+2.352e+03	+1.025e+04	+0.238
6.000	+3.813e+03	+5.710e+03	+1.052e+04	+0.600
6.100	+4.249e+03	+6.745e+03	+9.818e+03	+0.614
6.200	+3.486e+03	+6.731e+03	+9.216e+03	+0.659
6.300	+2.521e+03	+7.933e+03	+1.059e+04	+0.759
6.400	+3.364e+03	+7.380e+03	+8.886e+03	+0.687
6.500	+4.054e+03	+6.677e+03	+1.145e+04	+0.622
6.600	+3.349e+03	+7.131e+03	+9.794e+03	+0.680
6.700	+3.539e+03	+5.638e+03	+9.393e+03	+0.614
6.800	+3.153e+03	+6.058e+03	+1.021e+04	+0.658
6.900	+3.340e+03	+7.664e+03	+1.148e+04	+0.696
7.000	+3.930e+03	+6.808e+03	+1.137e+04	+0.634
7.100	+3.899e+03	+7.490e+03	+1.139e+04	+0.658
7.200	+2.624e+03	+6.147e+03	+9.247e+03	+0.701
7.300	+2.812e+03	+7.975e+03	+1.126e+04	+0.739
7.400	+7.135e+03	+2.084e+03	+9.948e+03	+0.226
7.500	+6.572e+03	+3.333e+03	+1.115e+04	+0.336
7.600	+7.077e+03	+3.444e+03	+1.014e+04	+0.327
7.700	+7.318e+03	+3.366e+03	+8.746e+03	+0.315
7.800	+6.248e+03	+2.530e+03	+1.032e+04	+0.288
7.900	+7.092e+03	+1.699e+03	+1.075e+04	+0.193
8.000	+5.178e+03	+4.620e+03	+9.195e+03	+0.472
8.100	+5.378e+03	+2.007e+03	+1.038e+04	+0.272
8.200	+8.507e+03	+2.243e+03	+9.962e+03	+0.209
8.300	+7.438e+03	+4.247e+03	+1.030e+04	+0.363
8.400	+8.060e+03	+3.725e+03	+1.010e+04	+0.316
8.500	+8.196e+03	+3.931e+03	+1.009e+04	+0.324
8.600	+6.843e+03	+1.820e+03	+9.825e+03	+0.210
8.700	+7.184e+03	+3.108e+03	+8.770e+03	+0.302
8.800	+9.148e+03	+4.349e+03	+1.083e+04	+0.322
8.900	+7.287e+03	+2.407e+03	+9.357e+03	+0.248
9.000	+8.042e+03	+3.257e+03	+1.066e+04	+0.288
9.100	+6.153e+03	+2.036e+03	+9.392e+03	+0.249
9.200	+6.841e+03	+3.472e+03	+8.473e+03	+0.337
9.300	+6.227e+03	+2.205e+03	+1.076e+04	+0.261
9.400	+6.085e+03	+2.806e+03	+1.072e+04	+0.316
9.500	+8.332e+03	+2.944e+03	+9.997e+03	+0.261
9.600	+7.999e+03	+4.387e+03	+1.146e+04	+0.354
9.700	+6.688e+03	+2.981e+03	+7.363e+03	+0.308
9.800	+6.674e+03	+1.884e+03	+1.127e+04	+0.220
9.900	+5.668e+03	+1.909e+03	+9.735e+03	+0.252
10.000	+7.133e+03	+4.455e+03	+1.112e+04	+0.384
10.100	+1.487e+03	+7.218e+03	+9.609e+03	+0.829
10.200	+3.362e+03	+7.614e+03	+1.090e+04	+0.694
10.300	+2.330e+03	+7.917e+03	+8.290e+03	+0.773
10.400	+6.886e+03	+2.448e+03	+9.897e+03	+0.262
10.500	+6.490e+03	+1.359e+03	+1.053e+04	+0.173
10.600	+6.549e+03	+4.323e+03	+9.276e+03	+0.398
10.700	+7.580e+03	+2.585e+03	+8.917e+03	+0.254
10.800	+8.007e+03	+3.206e+03	+1.023e+04	+0.286
10.900	+6.687e+03	+3.796e+03	+1.088e+04	+0.362
11.000	+6.534e+03	+2.689e+03	+1.024e+04	+0.292
11.100	+6.507e+03	+2.624e+03	+9.870e+03	+0.287
11.200	+6.841e+03	+2.561e+03	+9.996e+03	+0.272
11.300	+8.263e+03	+2.205e+03	+9.489e+03	+0.211
11.400	+5.870e+03	+5.410e+03	+1.009e+04	+0.480
11.500	+2.839e+03	+6.676e+03	+1.091e+04	+0.702
11.600	+3.586e+03	+7.769e+03	+9.786e+03	+0.684
11.700	+3.467e+03	+5.921e+03	+1.004e+04	+0.631
11.800	+2.727e+03	+5.877e+03	+1.000e+04	+0.683
11.900	+4.639e+03	+6.269e+03	+9.132e+03	+0.575
12.000	+2.079e+03	+7.689e+03	+1.045e+04	+0.787
12.100	+3.716e+03	+6.374e+03	+9.605e+03	+0.632
12.200	+4.051e+03	+6.155e+03	+9.286e+03	+0.603
12.300	+3.651e+03	+6.954e+03	+1.021e+04	+0.656
12.400	+3.319e+03	+6.630e+03	+1.181e+04	+0.666
12.500	+3.130e+03	+8.237e+03	+8.711e+03	+0.725
12.600	+2.093e+03	+7.148e+03	+1.114e+04	+0.774
12.700	+2.795e+03	+6.497e+03	+9.169e+03	+0.699
12.800	+3.664e+03	+5.731e+03	+1.066e+04	+0.610
12.900	+4.123e+03	+6.587e+03	+8.426e+03	+0.615
13.000	+1.850e+03	+6.131e+03	+1.093e+04	+0.768
13.100	+2.443e+03	+6.035e+03	+9.681e+03	+0.712
13.200	+2.443e+03	+6.182e+03	+9.965e+03	+0.717
13.300	+3.978e+03	+7.022e+03	+9.961e+03	+0.638
13.400	+4.567e+03	+4.595e+03	+9.569e+03	+0.502
13.500	+7.899e+03	+2.483e+03	+9.756e+03	+0.239
13.600	+7.276e+03	+1.538e+03	+1.073e+04	+0.174
13.700	+6.846e+03	+4.564e+03	+9.860e+03	+0.400
13.800	+4.667e+03	+5.423e+03	+8.841e+03	+0.537
13.900	+3.738e+03	+6.742e+03	+1.066e+04	+0.643
14.000	+2.733e+03	+6.439e+03	+9.154e+03	+0.702
14.100	+2.889e+03	+7.810e+03	+9.303e+03	+0.730
14.200	+3.674e+03	+6.380e+03	+1.074e+04	+0.635
14.300	+3.610e+03	+6.340e+03	+9.724e+03	+0.637
14.400	+2.587e+03	+6.655e+03	+1.004e+04	+0.720
14.500	+3.294e+03	+7.479e+03	+1.150e+04	+0.694
14.600	+3.304e+03	+7.955e+03	+9.888e+03	+0.707
14.700	+3.036e+03	+7.382e+03	+9.713e+03	+0.709
14.800	+2.575e+03	+8.008e+03	+1.058e+04	+0.757
14.900	+1.856e+03	+6.385e+03	+9.660e+03	+0.775
15.000	+2.837e+03	+6.731e+03	+9.483e+03	+0.703
